START_DATE,END_DATE,MONTH,YEAR,AMO,AO,NAO,ONI,ENSO_PHASE
1/1/1990,1/31/1990,1,1990,-0.296,1.001,1.04,0.136666667,Neutral Phase
2/1/1990,2/28/1990,2,1990,-0.158,3.402,1.41,0.206666667,Neutral Phase
3/1/1990,3/31/1990,3,1990,-0.175,2.99,1.46,0.28,Neutral Phase
4/1/1990,4/30/1990,4,1990,-0.114,1.879,2,0.29,Neutral Phase
5/1/1990,5/31/1990,5,1990,-0.056,0.943,-1.53,0.293333333,Neutral Phase
6/1/1990,6/30/1990,6,1990,-0.053,0.304,-0.02,0.306666667,Neutral Phase
7/1/1990,7/31/1990,7,1990,-0.019,-0.296,0.53,0.333333333,Neutral Phase
8/1/1990,8/31/1990,8,1990,0.056,-0.18,0.97,0.38,Neutral Phase
9/1/1990,9/30/1990,9,1990,0.15,-0.21,1.06,0.39,Neutral Phase
10/1/1990,10/31/1990,10,1990,0.116,0.66,0.23,0.353333333,Neutral Phase
11/1/1990,11/30/1990,11,1990,-0.051,0.521,-0.24,0.396666667,Neutral Phase
12/1/1990,12/31/1990,12,1990,-0.033,1.277,0.22,0.413333333,Neutral Phase
1/1/1991,1/31/1991,1,1991,-0.192,0.723,0.86,0.406666667,Neutral Phase
2/1/1991,2/28/1991,2,1991,-0.114,-0.876,1.04,0.263333333,Neutral Phase
3/1/1991,3/31/1991,3,1991,-0.066,-0.527,-0.2,0.22,Neutral Phase
4/1/1991,4/30/1991,4,1991,-0.13,0.53,0.29,0.256666667,Neutral Phase
5/1/1991,5/31/1991,5,1991,-0.151,0.486,0.08,0.456666667,Neutral Phase
6/1/1991,6/30/1991,6,1991,-0.127,-0.115,-0.82,0.636666667,Warm Phase/El Nino
7/1/1991,7/31/1991,7,1991,-0.105,-0.188,-0.49,0.733333333,Warm Phase/El Nino
8/1/1991,8/31/1991,8,1991,-0.107,0.797,1.23,0.636666667,Warm Phase/El Nino
9/1/1991,9/30/1991,9,1991,-0.035,-0.112,0.48,0.623333333,Warm Phase/El Nino
10/1/1991,10/31/1991,10,1991,-0.26,-0.252,-0.19,0.79,Warm Phase/El Nino
11/1/1991,11/30/1991,11,1991,-0.259,0.285,0.48,1.21,Warm Phase/El Nino
12/1/1991,12/31/1991,12,1991,-0.212,1.613,0.46,1.53,Warm Phase/El Nino
1/1/1992,1/31/1992,1,1992,-0.189,0.55,-0.13,1.713333333,Warm Phase/El Nino
2/1/1992,2/29/1992,2,1992,-0.092,1.122,1.07,1.633333333,Warm Phase/El Nino
3/1/1992,3/31/1992,3,1992,-0.091,0.984,0.87,1.48,Warm Phase/El Nino
4/1/1992,4/30/1992,4,1992,-0.183,-0.521,1.86,1.286666667,Warm Phase/El Nino
5/1/1992,5/31/1992,5,1992,-0.22,1.341,2.63,1.06,Warm Phase/El Nino
6/1/1992,6/30/1992,6,1992,-0.149,-0.302,0.2,0.73,Warm Phase/El Nino
7/1/1992,7/31/1992,7,1992,-0.218,0.191,0.16,0.366666667,Neutral Phase
8/1/1992,8/31/1992,8,1992,-0.379,0.535,0.85,0.09,Neutral Phase
9/1/1992,9/30/1992,9,1992,-0.368,-0.64,-0.44,-0.133333333,Neutral Phase
10/1/1992,10/31/1992,10,1992,-0.299,-0.366,-1.76,-0.25,Neutral Phase
11/1/1992,11/30/1992,11,1992,-0.333,0.717,1.19,-0.276666667,Neutral Phase
12/1/1992,12/31/1992,12,1992,-0.283,1.627,0.47,-0.13,Neutral Phase
1/1/1993,1/31/1993,1,1993,-0.239,3.495,1.6,0.09,Neutral Phase
2/1/1993,2/28/1993,2,1993,-0.185,0.184,0.5,0.293333333,Neutral Phase
3/1/1993,3/31/1993,3,1993,-0.243,0.764,0.67,0.496666667,Neutral Phase
4/1/1993,4/30/1993,4,1993,-0.172,-0.435,0.97,0.673333333,Warm Phase/El Nino
5/1/1993,5/31/1993,5,1993,-0.163,-1.607,-0.78,0.7,Warm Phase/El Nino
6/1/1993,6/30/1993,6,1993,-0.18,-0.52,-0.59,0.573333333,Warm Phase/El Nino
7/1/1993,7/31/1993,7,1993,-0.276,-0.511,-3.18,0.32,Neutral Phase
8/1/1993,8/31/1993,8,1993,-0.228,-0.393,0.12,0.256666667,Neutral Phase
9/1/1993,9/30/1993,9,1993,-0.164,-0.361,-0.57,0.153333333,Neutral Phase
10/1/1993,10/31/1993,10,1993,-0.242,-0.565,-0.71,0.106666667,Neutral Phase
11/1/1993,11/30/1993,11,1993,-0.317,1.002,2.56,0.043333333,Neutral Phase
12/1/1993,12/31/1993,12,1993,-0.292,-0.104,1.56,0.056666667,Neutral Phase
1/1/1994,1/31/1994,1,1994,-0.295,-0.288,1.04,0.063333333,Neutral Phase
2/1/1994,2/28/1994,2,1994,-0.308,-0.862,0.46,0.066666667,Neutral Phase
3/1/1994,3/31/1994,3,1994,-0.278,1.881,1.26,0.173333333,Neutral Phase
4/1/1994,4/30/1994,4,1994,-0.199,0.225,1.14,0.306666667,Neutral Phase
5/1/1994,5/31/1994,5,1994,-0.206,-0.115,-0.57,0.416666667,Neutral Phase
6/1/1994,6/30/1994,6,1994,-0.221,1.606,1.52,0.406666667,Neutral Phase
7/1/1994,7/31/1994,7,1994,-0.231,0.351,1.31,0.443333333,Neutral Phase
8/1/1994,8/31/1994,8,1994,-0.235,0.828,0.38,0.433333333,Neutral Phase
9/1/1994,9/30/1994,9,1994,-0.152,-0.084,-1.32,0.553333333,Warm Phase/El Nino
10/1/1994,10/31/1994,10,1994,-0.059,0.174,-0.97,0.743333333,Warm Phase/El Nino
11/1/1994,11/30/1994,11,1994,-0.019,1.779,0.64,1.003333333,Warm Phase/El Nino
12/1/1994,12/31/1994,12,1994,-0.09,0.894,2.02,1.093333333,Warm Phase/El Nino
1/1/1995,1/31/1995,1,1995,-0.062,-0.154,0.93,0.96,Warm Phase/El Nino
2/1/1995,2/28/1995,2,1995,-0.04,1.429,1.14,0.723333333,Warm Phase/El Nino
3/1/1995,3/31/1995,3,1995,0.016,0.393,1.25,0.533333333,Warm Phase/El Nino
4/1/1995,4/30/1995,4,1995,0.076,-0.963,-0.85,0.303333333,Neutral Phase
5/1/1995,5/31/1995,5,1995,0.271,-0.891,-1.49,0.14,Neutral Phase
6/1/1995,6/30/1995,6,1995,0.364,-0.112,0.13,-0.033333333,Neutral Phase
