SC_CLIM_DIV,START_DATE,END_DATE,MONTH,YEAR,    PCP,   TAVG,   TMIN,   TMAX,   PDSI,   PHDI,   ZNDX,   PMDI,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24
4,1/1/1990,1/31/1990,1,1990,2.36,51.2,38.6,63.8,-0.44,1.74,-1.32,1.1,-0.49,0.21,0.11,0.49,0.46,0.75,-0.64
4,2/1/1990,2/28/1990,2,1990,2.56,54.8,42.4,67.2,-0.9,1.05,-1.53,-0.27,-0.61,-0.84,-0.18,0.41,0.36,0.77,-0.53
4,3/1/1990,3/31/1990,3,1990,3.03,58.1,45.9,70.3,-1.25,-1.25,-1.34,-1.25,-0.33,-0.69,-0.88,-0.13,0.13,0.48,-0.43
4,4/1/1990,4/30/1990,4,1990,1.53,62.1,48.2,75.9,-1.64,-1.64,-1.55,-1.64,-1.08,-1.03,-1.18,-0.68,-0.1,-0.1,-0.61
4,5/1/1990,5/31/1990,5,1990,3.87,70.8,58.3,83.3,-1.41,-1.41,0.19,-1.24,0.29,-0.51,-0.71,-0.59,0,0.01,-0.55
4,6/1/1990,6/30/1990,6,1990,1.1,77.6,65,90.2,-2.4,-2.4,-3.39,-2.4,-2.55,-1.65,-2.16,-1.93,-1.07,-0.66,-0.66
4,7/1/1990,7/31/1990,7,1990,3.56,81.7,70.3,93.2,-3.24,-3.24,-3.27,-3.24,-1.32,-2.88,-1.86,-2.25,-1.8,-1.01,-0.77
4,8/1/1990,8/31/1990,8,1990,7.94,79.8,69.6,90,-2.5,-2.5,1.21,-1.96,1.14,0.1,-1.12,-1.42,-1.22,-0.55,-0.54
4,9/1/1990,9/30/1990,9,1990,1.85,73.6,61.6,85.8,-3.04,-3.04,-2.39,-3.04,-1.32,0.02,-0.67,-1.71,-1.88,-1.3,-1.02
4,10/1/1990,10/31/1990,10,1990,10.39,66.4,54.6,78.1,1.9,-0.83,5.71,1.56,2.2,1.26,1.58,0.33,-0.29,-0.19,-0.02
4,11/1/1990,11/30/1990,11,1990,2.05,56.2,42.2,70.3,1.61,-0.83,-0.28,1.3,-0.14,1.92,1.05,0.16,-0.23,-0.3,-0.09
4,12/1/1990,12/31/1990,12,1990,2.35,51.9,41.1,62.7,1.17,-1.03,-0.85,0.68,-0.54,-0.57,1.5,0.72,-0.26,-0.69,0
4,1/1/1991,1/31/1991,1,1991,6.69,46.2,36.8,55.4,2.19,2.19,3.44,2.19,1.71,0.94,0.64,1.54,0.56,0.01,0.45
