COUNTY,YEAR,POPULATION,TOTAL_AREA,POP_DENS,MEAN_UPLAND_IMPERV_PRCT,Developed,Agriculture,Forested,Marsh,Water
Beaufort,2001,125550,160327,0.783087066,3.180701696,11.72977727,3.229025679,40.52842004,31.912903,12.60049773
Beaufort,2006,147213,160327,0.918204669,3.885809109,13.00342425,3.061243583,39.71570603,32.24784347,11.97178267
Beaufort,2011,164029,160327,1.023090309,4.220792324,13.5972107,2.955834014,39.22421052,32.02766845,12.19382886
Beaufort,2016,183217,160327,1.142770712,4.542435065,13.95710018,2.90905462,39.10196037,32.04201413,11.98862325
Berkeley,2001,145153,316177,0.459087789,1.607637255,7.413252703,5.220809863,74.58164256,2.921781154,9.86219744
Berkeley,2006,159501,316177,0.504467434,1.873156031,7.968321541,5.015861369,73.59074189,3.323771179,10.10162029
Berkeley,2011,183692,316177,0.580978376,2.025154749,8.287762867,5.054447351,73.99494587,2.94866483,9.714495362
Berkeley,2016,208498,316177,0.659434431,2.174038173,8.599613508,4.896308081,73.34436091,3.001167068,10.15918299
Charleston,2001,313065,252632,1.23921356,5.174846893,13.23308211,4.992637512,51.02203996,23.55164825,7.200592166
Charleston,2006,334826,252632,1.325350708,5.646063293,13.92024763,4.591659014,50.26441623,24.02466829,7.1998005
Charleston,2011,357315,252632,1.414369518,5.910193466,14.2808512,4.227888787,50.94604009,23.22983628,7.315779474
Charleston,2016,396785,252632,1.570604674,6.205307367,14.73328794,4.159409734,50.61987397,23.15462808,7.332008613
Colleton,2001,38339,278131,0.137845116,0.56362712,4.422736049,9.312518202,74.61807565,8.889695863,2.757333774
Colleton,2006,38608,278131,0.138812286,0.576960076,4.446825417,8.900122604,74.18734337,9.632870841,2.832478221
Colleton,2011,38454,278131,0.13825859,0.593475445,4.478824726,8.682599207,75.24368014,8.745159655,2.849736275
Colleton,2016,37596,278131,0.135173713,0.599816729,4.49212781,8.714238974,74.75721872,8.642330413,3.394084083
Dorchester,2001,98683,149023,0.662199795,1.619594388,9.362984237,13.22279111,75.65140951,0.99246425,0.769679848
Dorchester,2006,120136,149023,0.806157439,1.925371255,10.18433396,12.87787791,74.28987472,1.758788912,0.88845346
Dorchester,2011,140167,149023,0.940572932,2.060785614,10.50777397,12.73226281,75.01325299,0.799876529,0.947504748
Dorchester,2016,156199,149023,1.048153641,2.197192251,10.7634392,12.75306496,74.35093912,0.907913544,1.223972139
Georgetown,2001,56800,219163,0.259167834,1.097804411,7.223847091,3.430323549,74.57463167,10.56337064,4.20737077
Georgetown,2006,59821,219163,0.272952095,1.212254526,7.475258141,3.302564758,73.55621159,11.41159776,4.254824035
Georgetown,2011,60188,219163,0.274626648,1.262496687,7.613967686,3.263324558,74.62756031,10.27271939,4.223340619
Georgetown,2016,61604,219163,0.281087592,1.294522594,7.66415864,3.250092397,74.29949398,10.16777467,4.618936591
Horry,2001,201982,296290,0.681703736,2.960589914,12.93091228,19.17682001,65.4352155,1.158999629,1.297715076
Horry,2006,242194,296290,0.81742212,3.566927837,14.45070708,18.95946539,63.54551284,1.675385602,1.368254075
Horry,2011,275375,296290,0.929410375,3.896236352,15.45209086,18.73029802,62.8472105,1.57413345,1.396267171
Horry,2016,321112,296290,1.08377603,4.127880614,15.79466064,18.80252455,62.39022579,1.081372979,1.930878531
Jasper,2001,21024,172668,0.121759678,0.573003291,3.996687284,4.740310886,77.89225566,10.42231334,2.949011977
Jasper,2006,22406,172668,0.129763477,0.66916164,4.235874626,4.707878704,77.45963352,10.83466537,2.763106076
Jasper,2011,25278,172668,0.146396553,0.763859226,4.493015498,4.582783145,77.85576945,10.21150416,2.856927746
Jasper,2016,28029,172668,0.162328862,0.842252506,4.692241759,4.530080849,78.26985892,9.532744921,2.973915259
South Carolina,2001,4064995,8008042,0.507614096,1.793925492,9.425962052,17.21087377,67.73533406,2.619966279,3.007813895
South Carolina,2006,4357847,8008042,0.544183834,1.989555339,9.989970083,16.67760983,67.48528542,2.790557292,3.05660235
South Carolina,2011,4671422,8008042,0.583341346,2.082197444,10.23835789,16.3941323,67.67398323,2.668230262,3.02539622
South Carolina,2016,4958235,8008042,0.619156967,2.169939829,10.41946333,16.39644248,67.34962179,2.655293266,3.179141668
SC_COASTAL,2001,1000596,1844411,0.542501644,2.097225621,8.836208416,8.264155874,67.32626296,10.33863927,5.234679255
SC_COASTAL,2006,1124705,1844411,0.609790876,2.419462971,9.502600017,8.016326079,66.34193789,10.89778797,5.241456487
SC_COASTAL,2011,1244498,1844411,0.674740066,2.591624233,9.890745609,7.866196851,66.73181845,10.28420455,5.227197192
SC_COASTAL,2016,1393040,1844411,0.755276346,2.747930662,10.1397682,7.837190301,66.36449251,10.12220161,5.536076287
