BUFFER_SIZE,StationCode,RT_RO_Other,Date,StationDepth_m,CHANNEL_WIDTH_m,CHANNEL_WIDTH_log,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,TOC_sediment,SiltClay,Entero_DHEC,Entero_LOG,FecalColiform_DHEC,FecalColiform_LOG,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_13,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_ABUNDANCE_area,trawl_SIMPSON_INDEX,benth_SP_RICH,benth_ABUNDANCE,benth_ABUNDANCE_area,benth_SIMPSON_INDEX,BIBI,AMBI,MAMBI,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND,PRCP_1,PRCP_2,PRCP_3,PRCP_4,PRCP_5,PRCP_6,PRCP_7,DAYS_SINCE_RAIN,TAVG_1,TAVG_2,TAVG_3,TAVG_4,TAVG_5,TAVG_6,TAVG_7,DAYMET_10dPRCP_cm,DAYMET_14dPRCP_cm,DAYMET_30dPRCP_cm,DAYMET_45dPRCP_cm,DAYMET_60dPRCP_cm,DAYMET_90dPRCP_cm,DAYMET_10dTAVG_degC,DAYMET_14dTAVG_degC,DAYMET_30dTAVG_degC,DAYMET_45dTAVG_degC,DAYMET_60dTAVG_degC,DAYMET_90dTAVG_degC,DJF_TAVG_diff,DJF_PRCP_diff,MAM_TAVG_diff,MAM_PRCP_diff,JJA_TAVG_diff,JJA_PRCP_diff,ANN_TAVG_diff,ANN_PRCP_diff,preSON_TAVG_diff,preSON_PRCP_diff,preANN_TAVG_diff,preANN_PRCP_diff,PDSI,PHDI,ZNDX,PMDI,SP01,SP02,SP03,SP06,SP09,SP12,SP24,AMO,AO,NAO,ONI,UPLAND_IMPERV_PRCT,BARREN_LAND_prct,CULTIVATED_CROPS_prct,DEC_FOREST_prct,DEVELOPED_HIGH_prct,DEVELOPED_MED_prct,DEVELOPED_LOW_prct,DEVELOPED_OPEN_prct,EMERGE_HERB_WET_prct,EVE_FOREST_prct,HAY_PASTURE_prct,HERBACEOUS_prct,MIX_FOREST_prct,WATER_prct,SHRUB_SCRUB_prct,WOODY_WET_prct,DEVALLCAT_prct,DEVHIGHCAT_prct,DEVLOWCAT_prct,AGRCAT_prct,FORCAT_prct,MARCAT_prct,WATCAT_prct
1,RO09363,OpenWater,8/11/2009,7.6,547,6.3,5.56,25,30.04,7.7,3.22,87.76,0,0,110,2.045322979,,,,,,,,,,,,8,29,0.010507246,0.41,7,11,125,0.82,2,2.18,0.34,0,0,1,9.09,0,0,0,0,0.02,0.02,0.03,,85,84.5,83.5,83,82.5,82.5,82.5,3.3,7.4,10,23.9,34.1,51.1,28.1,27.98,27.6,27.34,27.47,26.15,0.61,-17.26,0.03,12.46,0.19,10.13,0.04,12.62,-1.2,17.23,0.15,-9.36,-1.13,-1.13,-2,-1.13,-0.81,-0.91,-1.12,0.25,-0.75,0.17,-0.15,0.15,-0.05,-0.19,0.54,24.85,0,0,0,3.175675676,14.45945946,32.63513514,32.16216216,44.24,9.391891892,0,0,0,40.96,0,8.310810811,82.43243243,17.63513514,64.7972973,0,17.7027027,44.24,40.96
1,RO11308,OpenWater,8/2/2011,3.4,976,6.88,4.95,24.32,30.57,7.77,3.75,51.47,6.66,0.88422877,23,1.380211242,154.17,3916.11,6.15,1.07,0.03,0.02,0.09,0.26,0.14,0.03,0.17,27,148,0.053623188,0.91,16,177,2011.363636,0.67,3,,,3,1.69,0,0,0,0.17,0.53,0.53,0.53,0.54,1.06,1,86,85,85.5,86,86.5,86,85,9.4,9.4,18.4,24.7,27.3,28.9,29.18,29.55,28.73,28.83,28.4,26.99,-1.79,-5.56,1.37,-11.55,1.45,-0.17,0.78,-35.56,0.68,-7.69,-0.19,16.65,-4.67,-4.67,-2.5,-4.67,-0.58,-0.81,-1.53,-1.96,-1.93,-2.26,-0.62,0.14,-1.06,-1.35,-0.65,31.82,5.529667599,0,2.671637154,10.53122088,25.03883194,17.21031376,8.07704256,6.05,9.133271202,0.18639329,2.671637154,0.776638708,61.76,0.279589935,17.89375582,60.85740913,35.57005281,25.28735632,5.716060888,33.42652998,6.05,61.76
1,RO00056,OpenWater,7/11/2000,6.4,290,5.66,4.76,22.89,28.86,7.54,4.32,98.47,,,7,0.903089987,405.84,4442.39,2.17,1.07,,0.02,0.18,0.18,0.15,0.01,0.16,14,50,0.018115942,0.83,9,86,977.2727273,0.68,2,4.09,0.25,1,1.16,30,34.88,0.29,0.29,0.29,0.29,0.29,0.29,0.54,6,87.5,85.5,84.5,83.5,83,84,84,2.1,9.7,12.7,15.2,15.2,17.3,27.63,27.41,27.55,26.47,26.1,23.83,-0.03,-3.02,0.69,-9.2,-0.17,0.79,-0.54,-12.86,-0.14,16.35,0.14,-11.68,-2.15,-2.15,-1.23,-2.15,-0.17,-0.27,-1.14,-1.34,-1.01,-0.5,-0.93,0.07,-0.64,-1.03,-0.55,34.3,6.248441008,0.074831629,0.997755051,9.466201048,25.79196807,22.93589424,11.84834123,9.15,7.283611873,0.424045897,1.110002494,0.361686206,10.67,0.897979546,12.54676977,70.04240459,35.25816912,34.78423547,6.747318533,23.19780494,9.15,10.67
1,RO026030,OpenWater,7/31/2002,1.5,626,6.43,5.89,26.4,30.88,7.94,3.19,94.52,,,27,1.447158031,532.21,1126.5,0.13,0,,0,0.28,0.04,0.03,0.000738889,0.12,14,52,0.01884058,0.8,20,135,1534.090909,0.7,3.5,3.56,0.35,29,21.48,6,4.44,0.12,0.12,0.12,0.12,0.12,0.12,0.12,7,84.5,86.5,85.5,85.5,85,85,84.5,3,3,10.1,26.7,28.7,32.9,28.85,29.3,28.53,27.63,27.25,25.5,1.61,-8.76,1.04,-3.02,-0.25,11.4,0.41,25.36,0.04,-15.74,0.11,-27.99,-4.91,-4.91,-2.36,-4.91,-1.18,-0.38,-0.7,-1.23,-1.96,-2.55,-3.09,-0.06,0.32,0.62,0.79,30.7,0,0,0,0.419161677,5.598802395,75.56886228,17.78443114,31.94,0.179640719,0,0,0,34.66,0,0.419161677,99.37125749,6.017964072,93.35329341,0,0.598802395,31.94,34.66
1,RT11003,TidalCreek,7/27/2011,1.5,123,4.81,3.08,31.68,28.87,7.3,0.22,10,37.5,1.58546073,240,2.382017043,38.38,4398.26,0,0,0,0,0.01,0.2,0.16,0,0.11,12,65,0.047101449,0.65,18,71,806.8181818,0.77,2.5,2.91,0.38,0,0,31,43.66,0.05,0.77,0.77,0.77,0.77,0.77,0.77,1,76.5,81,82,82.5,82.5,83.5,83,5.9,15.3,19.7,25.2,25.2,26.1,28.8,28.43,28.53,28.51,28.28,26.65,-1.79,-5.56,1.37,-11.55,1.45,-0.17,0.78,-35.56,0.68,-7.69,-0.19,16.65,-4.28,-4.28,-1.96,-4.28,-0.3,-1.31,-1.75,-1.49,-2.02,-1.42,-0.71,0.09,-0.47,-1.51,-0.46,0.38,0,0.19193858,0.063979527,0,0,0.234591597,17.38110471,40.82,53.44423118,0.618468757,3.561526978,10.51396886,12.29,2.196630412,11.8148859,17.61569631,0,17.61569631,0.810407336,81.59522286,40.82,12.29
1,RO06320,OpenWater,7/18/2006,3.4,1707,7.44,5.16,28.49,29.75,7.92,0.58,15.37,,,23,1.380211242,101.89,4014.76,1.22,0,0,0,0.05,0.16,0.12,0.006816667,0.1,10,12,0.004347826,0.86,75,395,4488.636364,0.95,4,1.57,0.82,27,6.84,8,2.03,0,0,0.09,0.51,0.51,0.51,0.51,2,83.5,83.5,83.5,84,84,83.5,83.5,0.6,0.6,5.4,12.8,16.3,28.9,27.73,26.98,27,26.24,25.96,24.03,0.47,-0.76,0.34,-8.85,0.16,11.1,0.43,-4.37,0.98,-6.44,0.05,-12.31,-1.8,-1.8,-2.81,-1.8,-2.93,-0.64,-1,-1.38,-0.77,-0.89,-0.41,0.37,0.1,0.9,0.12,19.89,0.801393728,0,2.334494774,2.578397213,14.87804878,18.01393728,41.14982578,5.4,6.759581882,1.18466899,0.034843206,0.104529617,65.9,1.18466899,10.94076655,76.62020906,17.45644599,59.16376307,1.986062718,21.35888502,5.4,65.9
1,RO026010,OpenWater,7/17/2002,3.4,178,5.18,4.02,21.68,29.9,7.78,4.79,85.29,,,8,0.954242509,748.01,57.56,0.06,0.34,,0.007548807,0.28,0.001610558,0.006107564,0.000367778,0.09,20,404,0.146376812,0.72,8,16,181.8181818,0.75,1.5,2.4,0.35,0,0,2,12.5,0,0.03,1.68,1.7,1.8,4.1,5.16,1,85,84,83.5,84,83,81.5,81.5,10.5,11.4,23.6,25.4,26.4,31.5,26.88,26.93,25.88,25.49,24.33,23.56,1.03,-16.43,0.54,-8.72,-1.05,3.73,-0.17,-7.87,-1.2,-21.75,-0.72,-41.39,-4.89,-4.89,-2.18,-4.89,-0.63,-1.15,-1.07,-1.62,-2.32,-3.09,-2.77,-0.06,0.32,0.62,0.79,0,0,0,0.110619469,0,0,0,0,32.69,40.9660767,0.40560472,1.253687316,0,40.19,0,57.19026549,0,0,0,0.40560472,99.52064897,32.69,40.19
1,RO036042,OpenWater,7/2/2003,12.8,587,6.37,4.18,17.8,27.67,7.52,3.62,69.69,,,60,1.785329835,184.86,1836.8,8.14,0,0.56,0,0.09,0.07,0.05,0.04,0.07,19,280,0.101449275,0.49,8,42,477.2727273,0.5,1.5,3.98,0.23,0,0,0,0,0.94,1.14,1.14,1.15,1.52,1.52,1.52,1,79.5,79,79,79,79,79.5,79.5,4,5.2,18.1,26.3,33.5,47,26.05,25.82,26.03,24.74,24.49,22.47,-1.34,-3.02,0.78,19.13,-0.16,0.5,-0.14,0.02,0.77,17.15,0.41,25.36,3.29,3.29,2.33,3.29,1.08,1.16,1.56,1.9,1.65,1.95,0.18,0.27,0.07,0.13,0.07,5.79,1.136870263,1.270619706,5.060187249,2.229157379,3.254569773,3.923316986,3.901025412,16.62,44.67231387,2.429781543,1.604993313,0,38.52,1.538118591,28.95675435,13.30806955,5.483727151,7.824342399,4.837271511,81.83236737,16.62,38.52
1,RT052098,TidalCreek,8/9/2005,3,56,4.02,4.05,21.88,29.09,7.22,5.74,94.12,,,80,1.908485019,253.89,513.4,0,0,0,0,0.13,0.03,0.01,0,0.06,11,26,0.01884058,0.76,6,32,363.6363636,0.66,1.5,3.04,0.28,0,0,8,25,0.16,0.37,0.38,0.76,0.76,0.76,0.76,1,79,80.5,80,80,80,81,81,4.1,4.8,5,15,20,29.9,27.5,28.21,28.57,28.19,27.59,26.01,0.21,-10.07,-1.25,4,0.36,-5.4,0.05,-12.31,0.68,-14.74,0.04,-29.9,-0.15,0.91,0.05,0.46,0.32,-0.05,0.42,0.8,0.24,0.12,-0.4,0.44,0.02,0.37,-0.13,18.08,0.780141844,0,0,0.319148936,7.163120567,36.09929078,29.32624113,58.23,14.60992908,0.106382979,0.602836879,0.106382979,13.57,6.773049645,4.113475177,72.90780142,7.482269504,65.42553191,0.886524823,26.20567376,58.23,13.57
1,RT10132,TidalCreek,7/14/2010,2.7,25,3.21,3.18,23.56,30.45,7.18,1.19,33.72,103,2.017033339,70,1.851258349,122.47,1076.1,10.27,4,0,0.08,0.07,0.06,0.03,0.05,0.06,16,132,0.095652174,0.61,9,40,454.5454545,0.52,2,4.07,0.24,0,0,30,75,0.23,0.5,0.5,2.4,2.4,3,3,1,84,84,84,83.5,83.5,83.5,83.5,8.4,10.7,16.4,20.5,25.1,26.4,27.85,26.8,27.91,27.86,27.03,24.9,-1.74,23.75,0.49,-1.88,1.3,21.7,-0.19,16.65,0.23,-17.36,0.04,12.62,-1.74,-1.74,-1.22,-1.74,-0.04,-0.45,-0.29,-0.83,0.85,0.34,0.71,0.45,0.43,-0.42,-1.03,11.57,0.538737814,0,0,1.359671626,3.437660339,20.18984094,21.06208312,48.11,34.47922011,4.053360698,0.282195998,0.359158543,12.91,0.795279631,13.41713699,46.04925603,4.797331965,41.25192406,4.592098512,49.33299128,48.11,12.91
