FISHNET_SIZE,StationCode,RT_RO_Other,Date,StationDepth_m,CHANNEL_WIDTH_log,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,TOC_sediment,SiltClay,Entero_DHEC,Entero_LOG,FecalColiform_DHEC,Fecal_LOG,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_ABUNDANCE_area,trawl_SIMPSON_INDEX,benth_SP_RICH,benth_ABUNDANCE,benth_ABUNDANCE_area,benth_SIMPSON_INDEX,BIBI,AMBI,MAMBI,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND,PRCP_1,PRCP_2,PRCP_3,PRCP_4,PRCP_5,PRCP_6,PRCP_7,DAYS_SINCE_RAIN,TAVG_1,TAVG_2,TAVG_3,TAVG_4,TAVG_5,TAVG_6,TAVG_7,DAYMET_10dPRCP_cm,DAYMET_14dPRCP_cm,DAYMET_30dPRCP_cm,DAYMET_45dPRCP_cm,DAYMET_60dPRCP_cm,DAYMET_90dPRCP_cm,DAYMET_10dTAVG_degC,DAYMET_14dTAVG_degC,DAYMET_30dTAVG_degC,DAYMET_45dTAVG_degC,DAYMET_60dTAVG_degC,DAYMET_90dTAVG_degC,DJF_TAVG_diff,DJF_PRCP_diff,MAM_TAVG_diff,MAM_PRCP_diff,JJA_TAVG_diff,JJA_PRCP_diff,ANN_TAVG_diff,ANN_PRCP_diff,preSON_TAVG_diff,preSON_PRCP_diff,preANN_TAVG_diff,preANN_PRCP_diff,PDSI,PHDI,ZNDX,PMDI,SP01,SP02,SP03,SP06,SP09,SP12,SP24,AMO,AO,NAO,ONI,IMPERV_PRCT,WATER_prct,DEVOPEN_prct,DEVLOW_prct,DEVMED_prct,DEVHIGH_prct,BARREN_prct,DECFOREST_prct,EVEFOREST_prct,MIXFOREST_prct,SCRUBSHR_prct,HERBACEOUS_prct,PASTURE_prct,CROPS_prct,WOODYWET_prct,EMERGWET_prct,DEVALLCAT_prct,DEVHIGHCAT_prct,DEVLOWCAT_prct,AGRCAT_prct,FORCAT_prct,MARCAT_prct,WATCAT_prct,GROUP_A_prct,GROUP_B_prct,GROUP_C_prct,GROUP_D_prct,GROUP_AD_prct,GROUP_BD_prct,GROUP_CD_prct,POORLY_DRAINED_prct,WELL_DRAINED_prct,POPULATION_2010,census2010_personsPERha
25,RO09363,OpenWater,8/11/2009,7.6,6.3,5.56,25,30.04,7.7,3.22,87.76,0,0,110,2.045322979,,,,,,,,,,,8,29,0.010507246,0.41,7,11,125,0.82,2,2.18,0.34,0,0,1,9.09,0,0,0,0,0.02,0.02,0.03,,85,84.5,83.5,83,82.5,82.5,82.5,3.3,7.4,10,23.9,34.1,51.1,28.1,27.98,27.6,27.34,27.47,26.15,0.61,-17.26,0.03,12.46,0.19,10.13,0.04,12.62,-1.2,17.23,0.15,-9.36,-1.13,-1.13,-2,-1.13,-0.81,-0.91,-1.12,0.25,-0.75,0.17,-0.15,0.15,-0.05,-0.19,0.54,33,18.49,26.30160067,35.0968829,19.8820556,7.211457456,0.438079191,0.0168492,6.908171862,0.084245998,0.421229992,0.134793597,0.690817186,0,2.679022746,22.16,88.49199663,27.09351306,61.39848357,1.128896377,10.93513058,22.16,18.49,20.94,51.04,2.08,0,9.06,0,16.85,27.99,71.98,21158.8,8.46
25,RO11308,OpenWater,8/2/2011,3.4,6.88,4.95,24.32,30.57,7.77,3.75,51.47,6.66,0.88422877,23,1.380211242,154.17,3916.11,6.15,1.07,0.03,0.02,0.09,0.14,0.03,0.17,27,148,0.053623188,0.91,16,177,2011.363636,0.67,3,,,3,1.69,0,0,0,0.17,0.53,0.53,0.53,0.54,1.06,1,86,85,85.5,86,86.5,86,85,9.4,9.4,18.4,24.7,27.3,28.9,29.18,29.55,28.73,28.83,28.4,26.99,-1.79,-5.56,1.37,-11.55,1.45,-0.17,0.78,-35.56,0.68,-7.69,-0.19,16.65,-4.67,-4.67,-2.5,-4.67,-0.58,-0.81,-1.53,-1.96,-1.93,-2.26,-0.62,0.14,-1.06,-1.35,-0.65,15.41,41.59,12.71462725,12.1277983,9.867420126,4.020865029,17.67007172,5.411866985,10.1499674,0.108672028,5.259726146,3.694848946,3.238426429,0.043468811,15.49663117,12.4,38.73071072,13.88828516,24.84242556,20.95196696,43.3601391,12.4,41.59,19.12,10.87,19.75,6.37,2.13,0.28,41.45,69.98,29.99,4157.4,1.66
25,RO00056,OpenWater,7/11/2000,6.4,5.66,4.76,22.89,28.86,7.54,4.32,98.47,,,7,0.903089987,405.84,4442.39,2.17,1.07,,0.02,0.18,0.15,0.01,0.16,14,50,0.018115942,0.83,9,86,977.2727273,0.68,2,4.09,0.25,1,1.16,30,34.88,0.29,0.29,0.29,0.29,0.29,0.29,0.54,6,87.5,85.5,84.5,83.5,83,84,84,2.1,9.7,12.7,15.2,15.2,17.3,27.63,27.41,27.55,26.47,26.1,23.83,-0.03,-3.02,0.69,-9.2,-0.17,0.79,-0.54,-12.86,-0.14,16.35,0.14,-11.68,-2.15,-2.15,-1.23,-2.15,-0.17,-0.27,-1.14,-1.34,-1.01,-0.5,-0.93,0.07,-0.64,-1.03,-0.55,37.29,14.38,21.18022329,37.38437002,22.85486443,9.728867624,1.307814992,0.207336523,3.732057416,0.207336523,0.159489633,0.398724083,0.33492823,0.015948963,2.392344498,22.92,91.14832536,32.58373206,58.5645933,1.658692185,7.432216906,22.92,14.38,23.53,28.47,22.58,0,17.13,0,8.27,47.98,52,11931.7,4.77
25,RO026030,OpenWater,7/31/2002,1.5,6.43,5.89,26.4,30.88,7.94,3.19,94.52,,,27,1.447158031,532.21,1126.5,0.13,0,,0,0.28,0.03,0.000738889,0.12,14,52,0.01884058,0.8,20,135,1534.090909,0.7,3.5,3.56,0.35,29,21.48,6,4.44,0.12,0.12,0.12,0.12,0.12,0.12,0.12,7,84.5,86.5,85.5,85.5,85,85,84.5,3,3,10.1,26.7,28.7,32.9,28.85,29.3,28.53,27.63,27.25,25.5,1.61,-8.76,1.04,-3.02,-0.25,11.4,0.41,25.36,0.04,-15.74,0.11,-27.99,-4.91,-4.91,-2.36,-4.91,-1.18,-0.38,-0.7,-1.23,-1.96,-2.55,-3.09,-0.06,0.32,0.62,0.79,37.29,14.38,21.18022329,37.38437002,22.85486443,9.728867624,1.307814992,0.207336523,3.732057416,0.207336523,0.159489633,0.398724083,0.33492823,0.015948963,2.392344498,22.92,91.14832536,32.58373206,58.5645933,1.658692185,7.432216906,22.92,14.38,23.53,28.47,22.58,0,17.13,0,8.27,47.98,52,11931.7,4.77
25,RT11003,TidalCreek,7/27/2011,1.5,4.81,3.08,31.68,28.87,7.3,0.22,10,37.5,1.58546073,240,2.382017043,38.38,4398.26,0,0,0,0,0.01,0.16,0,0.11,12,65,0.047101449,0.65,18,71,806.8181818,0.77,2.5,2.91,0.38,0,0,31,43.66,0.05,0.77,0.77,0.77,0.77,0.77,0.77,1,76.5,81,82,82.5,82.5,83.5,83,5.9,15.3,19.7,25.2,25.2,26.1,28.8,28.43,28.53,28.51,28.28,26.65,-1.79,-5.56,1.37,-11.55,1.45,-0.17,0.78,-35.56,0.68,-7.69,-0.19,16.65,-4.28,-4.28,-1.96,-4.28,-0.3,-1.31,-1.75,-1.49,-2.02,-1.42,-0.71,0.09,-0.47,-1.51,-0.46,1.42,15.5,23.05309735,1.85840708,0.066371681,0.007980626,0.088495575,0.132743363,33.31858407,5.044247788,3.60619469,4.623893805,10.79646018,0.066371681,17.19026549,39.3,24.98585673,0.074352308,24.91150442,10.95132743,74.71238938,39.3,15.5,45.88,3.38,8.68,7.29,15.86,18.06,0.82,50.71,49.26,1674.1,0.66
25,RO06320,OpenWater,7/18/2006,3.4,7.44,5.16,28.49,29.75,7.92,0.58,15.37,,,23,1.380211242,101.89,4014.76,1.22,0,0,0,0.05,0.12,0.006816667,0.1,10,12,0.004347826,0.86,75,395,4488.636364,0.95,4,1.57,0.82,27,6.84,8,2.03,0,0,0.09,0.51,0.51,0.51,0.51,2,83.5,83.5,83.5,84,84,83.5,83.5,0.6,0.6,5.4,12.8,16.3,28.9,27.73,26.98,27,26.24,25.96,24.03,0.47,-0.76,0.34,-8.85,0.16,11.1,0.43,-4.37,0.98,-6.44,0.05,-12.31,-1.8,-1.8,-2.81,-1.8,-2.93,-0.64,-1,-1.38,-0.77,-0.89,-0.41,0.37,0.1,0.9,0.12,49.94,56.77,15.87261146,21.8089172,35.36305732,20.50955414,1.605095541,0.636942675,1.248407643,0.025477707,0.152866242,0.203821656,0.203821656,0,2.165605096,3.98,93.55414013,55.87261146,37.68152866,1.808917197,4.636942675,3.98,56.77,14.41,58.89,0,0,3.4,0,23.28,26.68,73.3,19580.1,7.83
25,RO026010,OpenWater,7/17/2002,3.4,5.18,4.02,21.68,29.9,7.78,4.79,85.29,,,8,0.954242509,748.01,57.56,0.06,0.34,,0.007548807,0.28,0.006107564,0.000367778,0.09,20,404,0.146376812,0.72,8,16,181.8181818,0.75,1.5,2.4,0.35,0,0,2,12.5,0,0.03,1.68,1.7,1.8,4.1,5.16,1,85,84,83.5,84,83,81.5,81.5,10.5,11.4,23.6,25.4,26.4,31.5,26.88,26.93,25.88,25.49,24.33,23.56,1.03,-16.43,0.54,-8.72,-1.05,3.73,-0.17,-7.87,-1.2,-21.75,-0.72,-41.39,-4.89,-4.89,-2.18,-4.89,-0.63,-1.15,-1.07,-1.62,-2.32,-3.09,-2.77,-0.06,0.32,0.62,0.79,0.28,53.04,5.835134301,0.308737265,0.061747453,0,0.030873726,0.463105897,51.96048163,0,0.463105897,0.833590614,0.401358444,0.092621179,39.33312751,14.57,6.205619018,0.061747453,6.143871565,0.52485335,93.45476999,14.57,53.04,71.4,0,0,1.26,22.6,1.63,3.09,28.58,71.4,143.9,0.05
25,RO036042,OpenWater,7/2/2003,12.8,6.37,4.18,17.8,27.67,7.52,3.62,69.69,,,60,1.785329835,184.86,1836.8,8.14,0,0.56,0,0.09,0.05,0.04,0.07,19,280,0.101449275,0.49,8,42,477.2727273,0.5,1.5,3.98,0.23,0,0,0,0,0.94,1.14,1.14,1.15,1.52,1.52,1.52,1,79.5,79,79,79,79,79.5,79.5,4,5.2,18.1,26.3,33.5,47,26.05,25.82,26.03,24.74,24.49,22.47,-1.34,-3.02,0.78,19.13,-0.16,0.5,-0.14,0.02,0.77,17.15,0.41,25.36,3.29,3.29,2.33,3.29,1.08,1.16,1.56,1.9,1.65,1.95,0.18,0.27,0.07,0.13,0.07,5.06,19.12,7.390381895,4.207920792,3.058698727,1.290664781,5.162659123,4.402404526,44.44837341,0.601131542,4.384724187,1.714992928,2.068599717,0.282885431,20.84512023,24.32,15.9476662,4.349363508,11.59830269,7.514144272,78.46534653,24.32,19.12,44.78,1.89,1.32,6.31,17.15,2.23,26.29,53.3,46.67,756.1,0.3
25,RT052098,TidalCreek,8/9/2005,3,4.02,4.05,21.88,29.09,7.22,5.74,94.12,,,80,1.908485019,253.89,513.4,0,0,0,0,0.13,0.01,0,0.06,11,26,0.01884058,0.76,6,32,363.6363636,0.66,1.5,3.04,0.28,0,0,8,25,0.16,0.37,0.38,0.76,0.76,0.76,0.76,1,79,80.5,80,80,80,81,81,4.1,4.8,5,15,20,29.9,27.5,28.21,28.57,28.19,27.59,26.01,0.21,-10.07,-1.25,4,0.36,-5.4,0.05,-12.31,0.68,-14.74,0.04,-29.9,-0.15,0.91,0.05,0.46,0.32,-0.05,0.42,0.8,0.24,0.12,-0.4,0.44,0.02,0.37,-0.13,15.16,5.54,30.80392677,24.34332714,6.248341735,1.51233749,0.504112497,0.185725657,22.73812682,1.127620058,2.958344388,0.769434863,2.679755903,0,6.022817724,19.08,62.90793314,7.760679225,55.14725391,3.1838684,36.48182542,19.08,5.54,22.38,36.69,0.66,0,33.19,0,7.05,40.9,59.07,16990.6,6.79
25,RT10132,TidalCreek,7/14/2010,2.7,3.21,3.18,23.56,30.45,7.18,1.19,33.72,103,2.017033339,70,1.851258349,122.47,1076.1,10.27,4,0,0.08,0.07,0.03,0.05,0.06,16,132,0.095652174,0.61,9,40,454.5454545,0.52,2,4.07,0.24,0,0,30,75,0.23,0.5,0.5,2.4,2.4,3,3,1,84,84,84,83.5,83.5,83.5,83.5,8.4,10.7,16.4,20.5,25.1,26.4,27.85,26.8,27.91,27.86,27.03,24.9,-1.74,23.75,0.49,-1.88,1.3,21.7,-0.19,16.65,0.23,-17.36,0.04,12.62,-1.74,-1.74,-1.22,-1.74,-0.04,-0.45,-0.29,-0.83,0.85,0.34,0.71,0.45,0.43,-0.42,-1.03,33,18.49,26.30160067,35.0968829,19.8820556,7.211457456,0.438079191,0.0168492,6.908171862,0.084245998,0.421229992,0.134793597,0.690817186,0,2.679022746,22.16,88.49199663,27.09351306,61.39848357,1.128896377,10.93513058,22.16,18.49,20.94,51.04,2.08,0,9.06,0,16.85,27.99,71.98,21158.8,8.46
