HUC_SIZE,StationCode,RT_RO_Other,DATE,MONTH,YEAR,LAT,LON,SC_COUNTY,StationDepth_m,CHANNEL_WIDTH_log,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,Chl_a_DHEC,TOC_sediment,SiltClay,Entero_DHEC,Entero_LOG,FecalColiform_DHEC,Fecal_LOG,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_ABUNDANCE_area,benth_SP_RICH,benth_ABUNDANCE,benth_ABUNDANCE_AREA,BIBI,AMBI,MAMBI,benth_SENCP_ABUND,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND,PRCP_1,PRCP_2,PRCP_3,PRCP_4,PRCP_5,PRCP_6,PRCP_7,DAYS_SINCE_RAIN,TAVG_1,TAVG_2,TAVG_3,TAVG_4,TAVG_5,TAVG_6,TAVG_7,DAYMET_10dPRCP_cm,DAYMET_14dPRCP_cm,DAYMET_30dPRCP_cm,DAYMET_45dPRCP_cm,DAYMET_60dPRCP_cm,DAYMET_90dPRCP_cm,DAYMET_10dTAVG_degC,DAYMET_14dTAVG_degC,DAYMET_30dTAVG_degC,DAYMET_45dTAVG_degC,DAYMET_60dTAVG_degC,DAYMET_90dTAVG_degC,DJF_TAVG_diff,DJF_PRCP_diff,MAM_TAVG_diff,MAM_PRCP_diff,JJA_TAVG_diff,JJA_PRCP_diff,ANN_TAVG_diff,ANN_PRCP_diff,preSON_TAVG_diff,preSON_PRCP_diff,preANN_TAVG_diff,preANN_PRCP_diff,PDSI,PHDI,ZNDX,PMDI,SP01,SP02,SP03,SP06,SP09,SP12,SP24,AMO,AO,NAO,ONI,HUC_AREA_HA,IMPERV_PRCT,OPEN_WATER_prct,DEVELOPED_OPEN_SPACE_prct,DEVELOPED_LOW_INTENSITY_prct,DEVELOPED_MEDIUM_INTENSITY_prct,DEVELOPED_HIGH_INTENSITY_prct,BARREN_LAND_prct,DECIDUOUS_FOREST_prct,EVERGREEN_FOREST_prct,MIXED_FOREST_prct,SHRUB_SCRUB_prct,HERBACEUOUS_prct,HAY_PASTURE_prct,CULTIVATED_CROPS_prct,WOODY_WETLANDS_prct,EMERGENT_HERBACEUOUS_WETLANDS_prct,DEVALLCAT_prct,DEVHIGHCAT_prct,DEVLOWCAT_prct,AGRCAT_prct,FORCAT_prct,MARCAT_prct,WATCAT_prct,COMMERCIAL_POND_prct,GOLF_POND_prct,MIXED_POND_prct,RESIDENTIAL_POND_prct,ALL_PONDS_prct,COMMERCIAL_POND_density,GOLF_POND_density,MIXED_POND_density,RESIDENTIAL_POND_density,ALL_PONDS_density,GROUP_A_prct,GROUP_B_prct,GROUP_C_prct,GROUP_D_prct,GROUP_AD_prct,GROUP_BD_prct,GROUP_CD_prct,POORLY_DRAINE_prct,WELL_DRAIN_prct,POP_2010,personsPERha
8,RO99301,OpenWater,7/7/99,7,1999,32.88,-79.87,Berkeley,2,5.4,5.44,20.48,29.11,7.65,10.9,0.23,7.68,,,2,0.477121255,28.02,32.77,2.79,0,,0,0.01,0.000870914,0.01,0.006669034,,,,15,246,2795.454545,4,2.74,0.43,82,82,33.33,49,19.92,0,0.04,0.04,0.04,0.04,0.04,0.18,1,81.5,81,81.5,81.5,81,80.5,80.5,6.2,6.8,8.1,8.2,12.7,19,25.95,25.77,24.94,24.53,23.77,22.17,2.24,3.89,-0.5,-1.62,-0.04,-25.74,0.14,-11.68,1.23,11.71,1.11,42.39,-1.62,-1.62,-0.66,-1.23,-0.32,0.1,-0.24,-0.8,-0.5,-0.7,1.19,0.19,-0.002,-0.9,-1.09,327119,4.81,14.14,9.165628892,6.264009963,2.129514321,0.884184309,0.535491905,1.195516812,33.56164384,0.410958904,3.00124533,1.469489415,2.503113325,1.942714819,36.83686177,5.56,18.44333748,3.01369863,15.42963885,4.98132005,76.47571606,5.56,14.14,0.05,0.009571974,0.04,0.24,0.35,0.16,0.02,0.09,0.62,0.89,5.88,6.35,14.41,0.88,10.52,17.64,44.28,87.73,12.23,532852.59,1.62
8,RO99302,OpenWater,8/25/99,8,1999,32.63,-80.46,Colleton,10,4.57,3.34,8.16,29.76,6.81,11.36,6.61,96.75,,,23,1.380211242,195.7,94.27,1.62,0,,0,0.1,0.01,0.009033334,0.03,,,,10,38,431.8181818,3,2.37,0.37,3,3,7.89,15,39.47,0,0.13,0.65,0.85,0.85,0.85,0.93,1,83,82.5,81.5,81.5,82,82,82.5,2.1,2.9,4.3,13.7,33.8,43.1,28.53,29.02,29.72,29.16,28.65,27.39,2.24,3.89,-0.5,-1.62,-0.04,-25.74,0.14,-11.68,1.23,11.71,1.11,42.39,-1.92,-1.92,-1.41,-1.92,-0.35,-0.65,-0.23,-0.79,-0.41,-0.52,1.23,0.3,-0.67,0.39,-1.11,486431,0.75,5.73,4.470750488,1.126307321,0.172393978,0.045971727,0.034478796,2.907711757,29.19204689,0.712561775,5.516607287,2.321572233,2.953683485,14.57303758,35.88093323,7.26,5.815423515,0.218365705,5.597057809,17.56119986,76.53143317,7.26,5.73,,,,,,,,,,,20.32,14.06,10.49,2.14,10.94,26.88,15.14,65.59,34.38,85203.89,0.17
8,RO99303,OpenWater,8/10/99,8,1999,32.31,-80.66,Beaufort,1,7.37,4.92,32,30.92,7.82,10.81,0.16,10.88,,,11,1.079181246,28.36,0,0.86,0,,0,0.01,0,0.0048,0.006181336,22,322,0.116666667,31,359,4079.545455,4,3.23,0.49,66,62,17.27,58,16.16,0,0.03,0.03,0.03,0.03,0.03,0.03,1,86.5,87.5,87,87,87,87,86,0,0,12.2,38,42.9,50.8,30.15,30.73,29.56,28.86,27.94,26.76,1.42,-1.09,-0.56,-10.93,-0.24,19.21,-0.06,2.15,0.89,-8.89,0.73,3.83,-1.92,-1.92,-1.41,-1.92,-0.35,-0.65,-0.23,-0.79,-0.41,-0.52,1.23,0.3,-0.67,0.39,-1.11,250451,1.64,14.61,6.825712392,2.279655401,0.662690524,0.132538105,0.185553347,1.842279655,29.55599735,2.200132538,4.705102717,4.837640822,1.630218688,11.82239894,33.22730285,9.94,9.900596421,0.795228628,9.105367793,13.63817097,76.36845593,9.94,14.61,,,,,,,,,,,25.26,10.37,7.33,2.1,15.43,26.11,13.35,64.32,35.63,121295.91,0.48
8,RO99304,OpenWater,7/20/99,7,1999,32.34,-80.9,Beaufort,2.5,5.54,4.91,25.3,30.53,7.35,8.61,0.43,12.44,,,,,24.24,0,0.92,0.07,,0.001583514,0.01,0,0.005116667,0.003932662,6,56,0.020289855,66,1232,14000,4.5,,,106,104,8.44,54,4.38,0,0.01,0.01,0.02,0.02,0.48,0.6,1,83.5,83.5,82.5,81.5,81.5,81,80.5,16.4,16.4,44.3,49.8,50.3,60.2,26.83,27.36,26.63,26.3,25.95,24.24,1.42,-1.09,-0.56,-10.93,-0.24,19.21,-0.06,2.15,0.89,-8.89,0.73,3.83,-1.62,-1.62,-0.66,-1.23,-0.32,0.1,-0.24,-0.8,-0.5,-0.7,1.19,0.19,-0.002,-0.9,-1.09,250451,1.64,14.61,6.825712392,2.279655401,0.662690524,0.132538105,0.185553347,1.842279655,29.55599735,2.200132538,4.705102717,4.837640822,1.630218688,11.82239894,33.22730285,9.94,9.900596421,0.795228628,9.105367793,13.63817097,76.36845593,9.94,14.61,,,,,,,,,,,25.26,10.37,7.33,2.1,15.43,26.11,13.35,64.32,35.63,121295.91,0.48
8,RO99305,OpenWater,7/20/99,7,1999,32.3,-80.75,Beaufort,10,7.49,5.97,30.22,29.62,7.73,4.66,0.08,3.56,,,,,8.37,0,1.01,0.03,,0.000793926,0.0067,0,0.005616667,0.002573009,7,29,0.010507246,76,1758,19977.27273,4.5,,,147,145,8.25,3,0.17,0,0.01,0.01,0.02,0.02,0.48,0.6,1,83.5,83.5,82.5,81.5,81.5,81,80.5,11.9,11.9,42.4,47.7,48.2,56.9,27,27.57,26.8,26.45,26.08,24.34,1.42,-1.09,-0.56,-10.93,-0.24,19.21,-0.06,2.15,0.89,-8.89,0.73,3.83,-1.62,-1.62,-0.66,-1.23,-0.32,0.1,-0.24,-0.8,-0.5,-0.7,1.19,0.19,-0.002,-0.9,-1.09,250451,1.64,14.61,6.825712392,2.279655401,0.662690524,0.132538105,0.185553347,1.842279655,29.55599735,2.200132538,4.705102717,4.837640822,1.630218688,11.82239894,33.22730285,9.94,9.900596421,0.795228628,9.105367793,13.63817097,76.36845593,9.94,14.61,,,,,,,,,,,25.26,10.37,7.33,2.1,15.43,26.11,13.35,64.32,35.63,121295.91,0.48
8,RO99306,OpenWater,8/23/99,8,1999,33.53,-79.02,Georgetown,2,5.29,5.34,36.41,29.14,8.02,8.17,0.05,2.55,,,14,1.176091259,14.12,0,0.8,0,,0,0.01,0,0.004494444,0.005078964,5,16,0.005797101,71,408,4636.363636,4,,,14,12,2.94,0,0,0,0,0.26,0.26,0.26,0.26,0.26,2,79,79.5,79,79,79.5,80,80,1.5,1.5,2.1,18,22.9,31.8,27.73,27.96,28.5,28.05,27.5,26.06,1.43,5.26,-1.5,10.78,-0.78,-6.31,-0.68,42.15,0.76,-19.05,0.2,17.55,-2.3,-2.3,-2.61,-2.3,-0.78,-1.27,-1.66,-0.86,-0.11,-0.58,1.1,0.3,-0.67,0.39,-1.11,175251,6.69,44.21,13.07454616,9.09617613,3.437620703,0.753186559,1.467748165,0.038624952,28.83352646,0.444186945,6.276554654,2.858246427,0.154499807,4.847431441,28.58246427,4.01,26.36152955,4.190807261,22.17072229,6.469679413,67.03360371,4.01,44.21,,,,,,,,,,,34.07,5.64,0.85,0.55,37.99,18.03,2.85,60.27,39.71,,
8,RO99307,OpenWater,7/13/99,7,1999,33.2,-79.41,Georgetown,2,5.23,4.87,3.05,27.03,6.7,26.2,0.1,2.32,,,900,2.954724791,11.27,0,1.09,0,,0,0.01,0.000204501,0.006105555,0.003663203,13,44,0.015942029,17,1559,17715.90909,4,1.25,0.43,47,47,3.01,19,1.22,1.24,2.16,3.37,3.37,3.37,3.37,3.37,1,76.5,78.5,79.5,81,81.5,81.5,81.5,10.3,14.3,19.7,20,20.5,37.4,26.63,26.29,25.01,24.49,23.71,21.96,1.43,5.26,-1.5,10.78,-0.78,-6.31,-0.68,42.15,0.76,-19.05,0.2,17.55,-1.59,-1.59,-1.84,-1.22,-0.8,-1.22,-1.13,-0.7,-0.01,-0.5,0.99,0.19,-0.002,-0.9,-1.09,186943,0.34,5.71,3.481228669,0.443686007,0.068259386,0.011376564,0.113765643,2.116040956,33.7883959,0.227531286,3.765642776,1.080773606,1.592718999,4.516496018,48.7258248,6.39,4.004550626,0.07963595,3.924914676,6.22298066,89.70420933,6.39,5.71,,,,,,,,,,,11.49,3,6.75,0.23,11.66,14.43,52.4,85.47,14.49,13170.47,0.07
8,RO99308,OpenWater,8/4/99,8,1999,32.46,-80.45,Beaufort,10,8.89,5.86,32.12,31.83,7.85,10.9,0.2,93.16,,,4,0.698970004,60.01,0,0.98,0,,0,0.03,6.30E-05,0.005488889,0.01,14,652,0.236231884,74,491,5579.545455,4,,,23,12,2.44,10,2.04,0,0,0.1,0.1,0.1,0.1,0.1,2,84.5,84.5,84.5,86.5,87.5,87.5,88,0,0,12,32.9,36.1,43.2,31.25,30.95,29.29,28.14,27.51,26.2,2.24,3.89,-0.5,-1.62,-0.04,-25.74,0.14,-11.68,1.23,11.71,1.11,42.39,-1.92,-1.92,-1.41,-1.92,-0.35,-0.65,-0.23,-0.79,-0.41,-0.52,1.23,0.3,-0.67,0.39,-1.11,486431,0.75,5.73,4.470750488,1.126307321,0.172393978,0.045971727,0.034478796,2.907711757,29.19204689,0.712561775,5.516607287,2.321572233,2.953683485,14.57303758,35.88093323,7.26,5.815423515,0.218365705,5.597057809,17.56119986,76.53143317,7.26,5.73,,,,,,,,,,,20.32,14.06,10.49,2.14,10.94,26.88,15.14,65.59,34.38,85203.89,0.17
8,RO99309,OpenWater,8/4/99,8,1999,32.48,-80.58,Beaufort,5,7.55,4.94,25.4,32.08,7.55,9.71,0.34,11.69,,,0,0,39.54,10.48,1.37,0.06,,0.001312364,0.02,0.000234194,0.007644445,0.009314269,3,6,0.002173913,24,121,1375,3.5,2.49,0.5,9,9,7.44,8,6.61,0,0,0,0,0,0,0,16,85,86,88,89,89.5,89.5,89,0,0,10.7,33.2,38.4,45.2,30.95,30.73,29.08,27.97,27.35,26.06,2.24,3.89,-0.5,-1.62,-0.04,-25.74,0.14,-11.68,1.23,11.71,1.11,42.39,-1.92,-1.92,-1.41,-1.92,-0.35,-0.65,-0.23,-0.79,-0.41,-0.52,1.23,0.3,-0.67,0.39,-1.11,486431,0.75,5.73,4.470750488,1.126307321,0.172393978,0.045971727,0.034478796,2.907711757,29.19204689,0.712561775,5.516607287,2.321572233,2.953683485,14.57303758,35.88093323,7.26,5.815423515,0.218365705,5.597057809,17.56119986,76.53143317,7.26,5.73,,,,,,,,,,,20.32,14.06,10.49,2.14,10.94,26.88,15.14,65.59,34.38,85203.89,0.17
8,RO99310,OpenWater,8/10/99,8,1999,32.3,-80.66,Beaufort,5,7.68,5.01,33.64,30.8,7.85,9.62,0.14,9.28,,,2,0.477121255,25.11,0,0.93,0,,0,0.01,0,0.005166667,0.005672781,15,28,0.010144928,38,178,2022.727273,4.5,,,48,17,9.55,4,2.25,0,0.03,0.03,0.03,0.03,0.03,0.03,1,86.5,87.5,87,87,87,87,86,0,0,12.3,39.2,44.1,52.1,30.13,30.71,29.55,28.86,27.95,26.77,1.42,-1.09,-0.56,-10.93,-0.24,19.21,-0.06,2.15,0.89,-8.89,0.73,3.83,-1.92,-1.92,-1.41,-1.92,-0.35,-0.65,-0.23,-0.79,-0.41,-0.52,1.23,0.3,-0.67,0.39,-1.11,250451,1.64,14.61,6.825712392,2.279655401,0.662690524,0.132538105,0.185553347,1.842279655,29.55599735,2.200132538,4.705102717,4.837640822,1.630218688,11.82239894,33.22730285,9.94,9.900596421,0.795228628,9.105367793,13.63817097,76.36845593,9.94,14.61,,,,,,,,,,,25.26,10.37,7.33,2.1,15.43,26.11,13.35,64.32,35.63,121295.91,0.48
