"","term","estimate","std.error","statistic","p.value","response","spatialunit","size"
"1","(Intercept)",0.00122345893865488,0.000251209650598317,4.87027045235292,1.35163193395549e-06,"ERMQ DDT","huc","10"
"2","TOC_sediment",0.000511188125018387,6.00606161053508e-05,8.5112034835228,8.87899836927387e-17,"ERMQ DDT","huc","10"
"3","DJF_PRCP_diff",6.68741890539981e-05,9.85850879276341e-06,6.78339802294306,2.33217749010704e-11,"ERMQ DDT","huc","10"
"4","WATCAT_prct",-3.09610066752244e-05,5.35145465064265e-06,-5.7855309810962,1.04929193807038e-08,"ERMQ DDT","huc","10"
"5","AGRCAT_prct",7.27484705851871e-05,1.84092958750734e-05,3.95172477420444,8.46849505384027e-05,"ERMQ DDT","huc","10"
"6","IMPERV_PRCT",6.75097301480777e-05,2.65509941299201e-05,2.54264415930105,0.0111954060405832,"ERMQ DDT","huc","10"
"7","(Intercept)",-0.000667816610648,0.000283066419056204,-2.35922230858264,0.0185636756290665,"ERMQ PAH","huc","10"
"8","SiltClay",5.74657750908326e-05,2.77615018940072e-06,20.699807708616,6.3070437852901e-76,"ERMQ PAH","huc","10"
"9","CHANNEL_WIDTH_log",0.000147214079161723,4.40988761919679e-05,3.3382728058847,0.000883789636781585,"ERMQ PAH","huc","10"
"10","DJF_PRCP_diff",4.02099262806554e-05,7.29284531503473e-06,5.51361293756769,4.80965381997459e-08,"ERMQ PAH","huc","10"
"11","DJF_TAVG_diff",-0.000167204946699089,4.06469976195398e-05,-4.11358664824755,4.31795487678297e-05,"ERMQ PAH","huc","10"
"12","MIXED_FOREST_prct",-0.00014043140720568,2.85231436721034e-05,-4.92341969104293,1.04228764815435e-06,"ERMQ PAH","huc","10"
"13","personsPERha",0.000961493627789823,8.44338416297803e-05,11.387538565469,7.31847683655031e-28,"ERMQ PAH","huc","10"
"14","DJF_PRCP_diff:DJF_TAVG_diff",-1.953714737145e-05,4.34617774734535e-06,-4.49524812540935,8.02468705473649e-06,"ERMQ PAH","huc","10"
"15","(Intercept)",0.00126938922754021,0.000154012832155185,8.24210041317312,7.30817990262579e-16,"ERMQ PCB","huc","10"
"16","SiltClay",3.48956542928879e-05,3.76783913180264e-06,9.26145015012698,1.9830781249555e-19,"ERMQ PCB","huc","10"
"17","MAM_PRCP_diff",0.000107627119344617,8.81834660676295e-06,12.2049091676751,1.95145972866492e-31,"ERMQ PCB","huc","10"
"18","DJF_TAVG_diff",-0.000455146804674553,6.04964550920496e-05,-7.52352851058819,1.49485254859041e-13,"ERMQ PCB","huc","10"
"19","personsPERha",0.000588251448827763,0.000117060324077617,5.02519921641189,6.26258325634075e-07,"ERMQ PCB","huc","10"
"20","MAM_PRCP_diff:DJF_TAVG_diff",-4.74173748510895e-05,6.08203239226614e-06,-7.79630422741336,2.0786720312917e-14,"ERMQ PCB","huc","10"
"21","(Intercept)",0.000755758729931908,0.00203144076019114,0.372030897844541,0.709968986835205,"ERMQ Metal","huc","10"
"22","SiltClay",0.000966941510284264,1.64594306862962e-05,58.7469596435871,1.82831828869456e-291,"ERMQ Metal","huc","10"
"23","SP02",0.002703031902014,0.000500252292595326,5.40333736001603,8.65015957678799e-08,"ERMQ Metal","huc","10"
"24","preSON_PRCP_diff",-0.00011619088680553,2.91587194961792e-05,-3.98477329639783,7.37523816423161e-05,"ERMQ Metal","huc","10"
"25","POORLY_DRAINE_prct",0.000117641492847055,2.91854239739245e-05,4.03083035395204,6.09243666341458e-05,"ERMQ Metal","huc","10"
"26","IMPERV_PRCT",0.000429878143304055,0.000116040187692551,3.70456263344746,0.000226410573745569,"ERMQ Metal","huc","10"
"27","(Intercept)",0.00519714129648042,0.000485244670496531,10.710352142894,4.51455521794592e-25,"ERMQ All","huc","10"
"28","SiltClay",0.000306425179187109,6.81221399713903e-06,44.9817312427062,4.04085129766621e-219,"ERMQ All","huc","10"
"29","DJF_PRCP_diff",8.05980838975368e-05,1.90968504826073e-05,4.22049091136482,2.7237812523841e-05,"ERMQ All","huc","10"
"30","DJF_TAVG_diff",-0.000314700450271165,0.000105650729011676,-2.97868697372061,0.00298439290410954,"ERMQ All","huc","10"
"31","GROUP_A_prct",-6.18606370313177e-05,1.29999650653669e-05,-4.75852332835262,2.32276751065214e-06,"ERMQ All","huc","10"
"32","personsPERha",0.00213869795376677,0.000210400570403828,10.1648866714663,6.98617530091566e-23,"ERMQ All","huc","10"
"33","(Intercept)",3.2846938926343,0.131439612694241,24.9901367274664,5.05273214065629e-102,"fecal","buffer","2"
"34","Logger_Salin_mean",-0.0428784335452776,0.00232348009435789,-18.4544010725116,1.67205475220127e-63,"fecal","buffer","2"
"35","CHANNEL_WIDTH_log",-0.199937808619903,0.014051139721735,-14.22929474615,4.51746690632967e-41,"fecal","buffer","2"
"36","PRCP_2",0.173296271420694,0.0281162072222552,6.16357213655485,1.13318011859089e-09,"fecal","buffer","2"
"37","PDSI",-0.0248030546128495,0.00935449879655878,-2.65145735247449,0.00817512159832554,"fecal","buffer","2"
"38","UPLAND_IMPERV_PRCT",0.0143593434536175,0.0023960121711754,5.99301774271592,3.12941863435242e-09,"fecal","buffer","2"
"39","MIX_FOREST_prct",0.0173898328569844,0.00528145365140869,3.29262244918994,0.00103670217056904,"fecal","buffer","2"
"40","MARCAT_prct",-0.00815882963605885,0.00118084146517316,-6.90933531442548,1.00284006502542e-11,"fecal","buffer","2"
"41","(Intercept)",-2.43231799412747,1.2588637778787,-1.93215345208052,0.0541936931800085,"entero","buffer","3"
