"","RESPONSE","RESPONSE_CATEGORY","HABITAT","SPATIAL_UNIT","SCENARIO_NUMBER","SCENARIO_NAME","PROJECTION","SCENARIO_PROJECTION","PREDICTED","PREDICTED_LOWER","PREDICTED_UPPER","BASELINE","BASELINE_LOWER","BASELINE_UPPER","PRCT_CHANGE"
"1","ERMQ metals","sediment quality","OpenWater","HUC 10","0","Baseline","NA","Baseline (NA)",0.0281753953771829,0.0273356049864834,0.0290151857678825,0.0281753953771829,0.0273356049864834,0.0290151857678825,0
"2","ERMQ metals","sediment quality","TidalCreek","HUC 10","0","Baseline","NA","Baseline (NA)",0.0389336173523366,0.038089159924052,0.0397780747806211,0.0389336173523366,0.038089159924052,0.0397780747806211,0
"3","ERMQ metals","sediment quality","AllHabitats","HUC 10","0","Baseline","NA","Baseline (NA)",0.0335213429184738,0.0327042236885797,0.034338462148368,0.0335213429184738,0.0327042236885797,0.034338462148368,0
"4","ERMQ metals","sediment quality","OpenWater","HUC 10","1","Pop","Low","Pop (Low)",0.0302822374532749,0.0289820772883388,0.0315823976182111,0.0281753953771829,0.0273356049864834,0.0290151857678825,7.47759542639166
"5","ERMQ metals","sediment quality","TidalCreek","HUC 10","1","Pop","Low","Pop (Low)",0.0410883856800771,0.0397148488205314,0.0424619225396227,0.0389336173523366,0.038089159924052,0.0397780747806211,5.5344673171274
"6","ERMQ metals","sediment quality","AllHabitats","HUC 10","1","Pop","Low","Pop (Low)",0.0356520003822531,0.034331151857168,0.0369728489073382,0.0335213429184738,0.0327042236885797,0.034338462148368,6.35612203532878
"7","ERMQ metals","sediment quality","OpenWater","HUC 10","2","Temp","Low","Temp (Low)",0.0283752864197262,0.0275390113609608,0.0292115614784916,0.0281753953771829,0.0273356049864834,0.0290151857678825,0.709452484578735
"8","ERMQ metals","sediment quality","TidalCreek","HUC 10","2","Temp","Low","Temp (Low)",0.0390947911229123,0.0382552466852656,0.0399343355605591,0.0389336173523366,0.038089159924052,0.0397780747806211,0.413970705873999
"9","ERMQ metals","sediment quality","AllHabitats","HUC 10","2","Temp","Low","Temp (Low)",0.0337019946754402,0.0328893465852769,0.0345146427656034,0.0335213429184738,0.0327042236885797,0.034338462148368,0.538915631768366
"10","ERMQ metals","sediment quality","OpenWater","HUC 10","3","Precip","Low","Precip (Low)",0.0281777619121568,0.0273380805974429,0.0290174432268707,0.0281753953771829,0.0273356049864834,0.0290151857678825,0.00839929641527621
"11","ERMQ metals","sediment quality","TidalCreek","HUC 10","3","Precip","Low","Precip (Low)",0.0388972666153429,0.0380506753772351,0.0397438578534507,0.0389336173523366,0.038089159924052,0.0397780747806211,-0.0933659378852182
"12","ERMQ metals","sediment quality","AllHabitats","HUC 10","3","Precip","Low","Precip (Low)",0.0335044701678708,0.0326864401023505,0.034322500233391,0.0335213429184738,0.0327042236885797,0.034338462148368,-0.0503343515923649
"13","ERMQ metals","sediment quality","OpenWater","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.0281777619121568,0.0273380805974429,0.0290174432268707,0.0281753953771829,0.0273356049864834,0.0290151857678825,0.00839929641527621
"14","ERMQ metals","sediment quality","TidalCreek","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.0388972666153429,0.0380506753772351,0.0397438578534507,0.0389336173523366,0.038089159924052,0.0397780747806211,-0.0933659378852182
"15","ERMQ metals","sediment quality","AllHabitats","HUC 10","4","Temp + Precip","Low","Temp + Precip (Low)",0.0335044701678708,0.0326864401023505,0.034322500233391,0.0335213429184738,0.0327042236885797,0.034338462148368,-0.0503343515923649
"16","ERMQ metals","sediment quality","OpenWater","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.0302822374532749,0.0289820772883388,0.0315823976182111,0.0281753953771829,0.0273356049864834,0.0290151857678825,7.47759542639166
"17","ERMQ metals","sediment quality","TidalCreek","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.0410883856800771,0.0397148488205314,0.0424619225396227,0.0389336173523366,0.038089159924052,0.0397780747806211,5.5344673171274
"18","ERMQ metals","sediment quality","AllHabitats","HUC 10","5","Pop + Temp","Low","Pop + Temp (Low)",0.0356520003822531,0.034331151857168,0.0369728489073382,0.0335213429184738,0.0327042236885797,0.034338462148368,6.35612203532878
"19","ERMQ metals","sediment quality","OpenWater","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.0300847129457055,0.0287826646268891,0.0313867612645219,0.0281753953771829,0.0273356049864834,0.0290151857678825,6.7765422382282
"20","ERMQ metals","sediment quality","TidalCreek","HUC 10","6","Pop + Precip","Low","Pop + Precip (Low)",0.0408908611725077,0.039513307593914,0.0422684147511014,0.0389336173523366,0.038089159924052,0.0397780747806211,5.02713067336818
