"","term","estimate","std.error","statistic","p.value","response","spatialunit","size"
"1","(Intercept)",-2.18608954942492,1.26212545643825,-1.73206992876455,0.0841927053715963,"entero","huc","08"
"2","Logger_Salin_mean",-0.0354258216547238,0.00445400302996734,-7.95370398636293,2.89521849577475e-14,"entero","huc","08"
"3","PRCP_2",0.194652353185296,0.0466334455553826,4.17409331150802,3.82872219722121e-05,"entero","huc","08"
"4","DAYMET_30dTAVG_degC",0.165504025500597,0.0460775548149778,3.59185781808888,0.000378122286548511,"entero","huc","08"
"5","DAYMET_14dPRCP_cm",-0.0145794640153366,0.00717433067086376,-2.03217062109311,0.042934506236986,"entero","huc","08"
"6","CHANNEL_WIDTH_log",-0.110579161700934,0.0215547809600348,-5.13014546081267,4.9416744035953e-07,"entero","huc","08"
"7","(Intercept)",-2.51214142721642,1.2713528543328,-1.97595924581833,0.048992006292524,"entero","huc","10"
"8","Logger_Salin_mean",-0.035825942600001,0.00444527783950953,-8.05932584946228,1.42158224191583e-14,"entero","huc","10"
"9","PRCP_2",0.193336066227476,0.0464882182513847,4.15881858887369,4.08313104362803e-05,"entero","huc","10"
"10","DAYMET_30dTAVG_degC",0.175341096682822,0.0462608266609259,3.79027158265037,0.000178865290281362,"entero","huc","10"
"11","DAYMET_14dPRCP_cm",-0.0134900354169528,0.00717732628218065,-1.87953492520535,0.06105244071402,"entero","huc","10"
"12","IMPERV_PRCT",0.015507620894625,0.00872935041974252,1.77649196663621,0.0765730996048151,"entero","huc","10"
"13","CHANNEL_WIDTH_log",-0.11171509012028,0.0214944379046392,-5.19739528039338,3.54920272264088e-07,"entero","huc","10"
"14","(Intercept)",-2.31012416576374,1.25665751350006,-1.83830848178319,0.0669266002451796,"entero","huc","12"
"15","Logger_Salin_mean",-0.0359280784550291,0.00441605501880624,-8.13578596779832,8.69775207882262e-15,"entero","huc","12"
"16","PRCP_2",0.198488891041556,0.0458776345647951,4.32648485311989,2.01714534178061e-05,"entero","huc","12"
"17","DAYMET_30dTAVG_degC",0.168719291470373,0.0458716890957459,3.67807017348353,0.000274800251333754,"entero","huc","12"
"18","DAYMET_14dPRCP_cm",-0.0130777862678686,0.00711228991680765,-1.83875888368433,0.0668601121186991,"entero","huc","12"
"19","personsPERha",0.0509263125796556,0.0258095089533492,1.97316084826352,0.0493216281734426,"entero","huc","12"
"20","CHANNEL_WIDTH_log",-0.11322624791905,0.0212973075213434,-5.31645832721243,1.96759004676629e-07,"entero","huc","12"
"21","(Intercept)",-2.39272246591439,1.25822291570618,-1.90166816710016,0.0580852381929508,"entero","huc","14"
"22","Logger_Salin_mean",-0.035665180435555,0.00442931418389901,-8.05207735436819,1.49375452474817e-14,"entero","huc","14"
"23","PRCP_2",0.199644551967159,0.046415954149787,4.30120538560716,2.24030041061425e-05,"entero","huc","14"
"24","DAYMET_30dTAVG_degC",0.171984425576958,0.0459019417606248,3.74677887209748,0.000211369026798142,"entero","huc","14"
"25","DAYMET_14dPRCP_cm",-0.0136168533538136,0.00714568133134311,-1.90560601885309,0.0575701480490194,"entero","huc","14"
"26","personsPERha",0.0531382628105041,0.0240057921777658,2.21356006154718,0.0275425872658272,"entero","huc","14"
"27","CHANNEL_WIDTH_log",-0.114718319541751,0.0215103431475392,-5.3331701291281,1.79505755514067e-07,"entero","huc","14"
"28","(Intercept)",2.82448084272789,0.11182020711487,25.259127268709,2.81597715628454e-102,"fecal","huc","08"
"29","CHANNEL_WIDTH_log",-0.145781972346246,0.0123750803749452,-11.7802848894137,1.66524485356806e-29,"fecal","huc","08"
"30","Logger_Salin_mean",-0.0373902649963429,0.00263950762891382,-14.1656211131048,1.58140919468217e-40,"fecal","huc","08"
"31","personsPERha",0.101108803745994,0.0496217840068863,2.03758905024378,0.0419424746096076,"fecal","huc","08"
"32","PRCP_2",0.152938735427889,0.0298654704293145,5.12092169416396,3.87130017504467e-07,"fecal","huc","08"
"33","WELL_DRAIN_prct",-0.00832677396475566,0.00190676010494889,-4.36697513396886,1.43738301702877e-05,"fecal","huc","08"
"34","SP02",-0.0489829305974618,0.0243259550855946,-2.01360770523122,0.0444084099079724,"fecal","huc","08"
"35","(Intercept)",2.58082372472884,0.0983722788299256,26.2352743621075,1.23305669830327e-109,"fecal","huc","10"
"36","CHANNEL_WIDTH_log",-0.111765972049279,0.0140872292296402,-7.93385059810901,7.25090173346541e-15,"fecal","huc","10"
"37","Logger_Salin_mean",-0.0425049378386185,0.0023750129535588,-17.8967183210213,2.11437819468316e-60,"fecal","huc","10"
"38","IMPERV_PRCT",0.0357059961826129,0.00525980102958768,6.78846898994046,2.22418967548184e-11,"fecal","huc","10"
"39","StationDepth_m",-0.0295091932259668,0.00826048066291821,-3.57233367283763,0.000375218586512632,"fecal","huc","10"
"40","PRCP_2",0.155527811090046,0.029282917483046,5.31121296845139,1.4165050956002e-07,"fecal","huc","10"
"41","SP02",-0.0596834707140415,0.0237979992434549,-2.5079196828051,0.0123436324364694,"fecal","huc","10"
"42","(Intercept)",2.93927101730802,0.111543174703756,26.35097149704,5.08703782565421e-110,"fecal","huc","12"
"43","CHANNEL_WIDTH_log",-0.133503966610275,0.0140829107018324,-9.479856077828,2.96205817195346e-20,"fecal","huc","12"
"44","Logger_Salin_mean",-0.0410788550871969,0.00234373957054852,-17.5270561641723,2.90909784849414e-58,"fecal","huc","12"
"45","personsPERha",0.0922837436473376,0.0168468723110844,5.47779682443605,5.80892904948781e-08,"fecal","huc","12"
"46","MARCAT_prct",-0.00840954342934726,0.00170618918262915,-4.92884582493282,1.01021773392725e-06,"fecal","huc","12"
"47","StationDepth_m",-0.0264581480502074,0.00825459217059333,-3.20526411280058,0.00140417832464764,"fecal","huc","12"
"48","PRCP_2",0.175432806377196,0.0284831430278457,6.15918005276628,1.16894489017205e-09,"fecal","huc","12"
"49","SP02",-0.0636859012294297,0.0230715248954915,-2.76036809521311,0.00590880225552947,"fecal","huc","12"
"50","(Intercept)",3.00410970033214,0.136097067738825,22.0732874722704,1.10849881478478e-79,"fecal","huc","14"
"51","CHANNEL_WIDTH_log",-0.155870630275789,0.0157089571437989,-9.92240470509649,1.32854704782935e-21,"fecal","huc","14"
"52","Logger_Salin_mean",-0.036717891673722,0.00308965324767172,-11.8841464495706,2.00127550715216e-29,"fecal","huc","14"
"53","personsPERha",0.0918843816053876,0.0194089502359506,4.73412423074759,2.74168296377279e-06,"fecal","huc","14"
"54","MARCAT_prct",-0.0103281042055684,0.00223455130063261,-4.62200362222358,4.64653850717254e-06,"fecal","huc","14"
"55","ALL_PONDS_prct",-0.0380528181727726,0.0199535026415121,-1.90707460521773,0.0569834808141157,"fecal","huc","14"
"56","SP02",-0.0574229631433103,0.0287174477735861,-1.99958448940324,0.0459910961946413,"fecal","huc","14"
"57","(Intercept)",52.5649934679851,13.9943933292179,3.75614663897135,0.000231753436846792,"metal","huc","08"
"58","SiltClay",1.94780654724081,0.0873927400843181,22.2879674600148,4.91454221987566e-54,"metal","huc","08"
"59","preSON_PRCP_diff",-0.673085757369997,0.140555927088625,-4.78873976581291,3.45332199387324e-06,"metal","huc","08"
"60","SP02",10.4169046006491,2.44003233875541,4.26916661521072,3.14642271190327e-05,"metal","huc","08"
"61","ALL_PONDS_density",-30.414075311225,9.58543026522508,-3.17294836743678,0.00177015723286404,"metal","huc","08"
"62","IMPERV_PRCT",2.69482673810867,1.4409833606054,1.87013036498666,0.0630626524567773,"metal","huc","08"
"63","(Intercept)",6.95484371806953,5.58295618356028,1.24572779893006,0.213234133741987,"metal","huc","10"
"64","SiltClay",1.84149095755836,0.0462412522996516,39.8235529095357,5.55089243511577e-191,"metal","huc","10"
"65","SP02",8.05307049029617,1.38937855866474,5.79616724331457,9.80662726389816e-09,"metal","huc","10"
"66","preSON_PRCP_diff",-0.399460372640252,0.0816259501381644,-4.89379139800645,1.19951036198531e-06,"metal","huc","10"
"67","personsPERha",6.31131511451613,1.38968853148633,4.54153212861728,6.45719373817894e-06,"metal","huc","10"
"68","POORLY_DRAINE_prct",0.213949918820002,0.0829679004720724,2.57870715786063,0.0100971684921985,"metal","huc","10"
"69","(Intercept)",21.3037292465484,1.80884153828663,11.7775541945635,1.20320081627024e-29,"metal","huc","12"
"70","SiltClay",1.85601652981463,0.0453765602449713,40.9025391037726,1.92095499392337e-198,"metal","huc","12"
"71","SP02",8.27376919880571,1.37950337807793,5.99764330431258,3.02685628734748e-09,"metal","huc","12"
"72","preSON_PRCP_diff",-0.390430520617883,0.0813126373969485,-4.80159705940782,1.87794793151932e-06,"metal","huc","12"
"73","IMPERV_PRCT",0.748155166681917,0.16312162471991,4.58648672710652,5.22823988811845e-06,"metal","huc","12"
"74","(Intercept)",21.5804515949282,1.81099569289603,11.9163461733131,2.93995746813712e-30,"metal","huc","14"
"75","SiltClay",1.85798824605474,0.0454885373333544,40.8451965038755,4.11023786080937e-198,"metal","huc","14"
"76","SP02",8.34909090822875,1.38248026605283,6.03921163523478,2.36762565094127e-09,"metal","huc","14"
"77","preSON_PRCP_diff",-0.384745329824029,0.0814397226668608,-4.72429567814071,2.72598466575535e-06,"metal","huc","14"
"78","IMPERV_PRCT",0.719825231985721,0.169343690798294,4.25067641193146,2.38190323010082e-05,"metal","huc","14"
