"","Parameter","OpenWater","TidalCreek","p.value"
"1","benth_ABUNDANCE",396.066502463054,301.7775,0.00120434390077241
"2","benth_SP_RICH",29.1674876847291,24.8825,0.000649465341193742
"3","BIBI",3.62990196078431,3.33126550868486,3.15748616590137e-06
"4","DDT_Total",0.0841397801891892,0.188151186593052,0.00148026340418195
"5","ERMQ_ALL",0.0140597511375921,0.0162259974689826,0.0436052393549741
"6","ERMQ_DDT_tot",0.00182521699262899,0.00408225613399504,0.0014742568206561
"7","ERMQ_met",0.0347963144963145,0.0428449131513648,0.000204249945574751
"8","ERMQ_PAH_tot",0.00367044381818182,0.0028204955955335,0.307928203521481
"9","ERMQ_PCB_tot",0.00338338574201474,0.00355796902729529,0.719423482029833
"10","LOG_ENTERO",0.663873321597633,0.939011481458333,0.000315992740136538
"11","LOG_FC",0.643008369238095,0.980125383425,3.2503735416318e-11
"12","Logger_DO_mean",5.14491094147583,4.4122305764411,3.64958289568865e-29
"13","Logger_pH_mean",7.60288888888889,7.42482587064677,1.19293862270163e-17
"14","Logger_Salin_mean",27.5139460784314,28.4527791563275,0.111855103524652
"15","Logger_Temp_mean",29.490515970516,29.8272139303483,0.000471541647613768
"16","MAMBI",0.472674931405512,0.415812917294833,2.55186591717055e-07
"17","Met_Total",63.4438390011916,78.3161659079901,0.000618306277384234
"18","PAH_Total",84.9393820395651,56.5171718652333,0.218329269653912
"19","PBDE_Total",0.0493097294895833,0.0361522919896907,0.398610184031042
"20","PCB_Total",0.60901404885258,0.640470261133995,0.719156472361478
"21","trawl_ABUNDANCE",86.438829787234,103.528610354223,0.164872926598268
"22","trawl_SP_RICH",10.1702127659574,11.5204359673025,0.00217703898902487
