StationCode,RT_RO_Other,DATE,MONTH,YEAR,PERIOD,LAT,LON,SC_COUNTY,StationDepth_m,CHANNEL_WIDTH_m,CHANNEL_WIDTH_log,YSIb_DO_mgL,Logger_DO_min,Logger_DO_mean,Logger_DO_max,Logger_DO_range,YSIb_Salinity,Logger_Salin_min,Logger_Salin_mean,Logger_Salin_max,Logger_Salin_range,YSIb_Temp,Logger_Temp_min,Logger_Temp_mean,Logger_Temp_max,Logger_Temp_range,Logger_pH_min,Logger_pH_mean,Logger_pH_max,Logger_pH_range,TOC_Water_DHEC,Chl_a_DHEC,SecchiDepth_m,TOC_sediment,SiltClay,Entero_DHEC,LOG_ENTERO,FecalColiform_DHEC,LOG_FC,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_13,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUNDANCE,trawl_SIMPSON_INDEX,benth_SP_RICH,benth_ABUNDANCE,benth_SIMPSON_INDEX,BIBI,AMBI,MAMBI,benth_SENSC_ABUND,benth_SENSC_relABUND,benth_TCSENS_ABUND,benth_TCSENS_relABUND
RO99322,OpenWater,7/7/99,7,1999,1999-2008,32.79702,-79.90902,Charleston,2.8,1897,7.54802897,4.9,5.41,6.52,7.43,2.02,22.9,19.3,22.98,27.2,7.9,27.7,27.78,28.02,28.41,0.63,7.54,7.83,7.91,0.37,2.400000095,6.44,,0.950000018,23.00762939,,,80,1.903089987,79.98919678,1051.119995,11.07800007,0.062199999,,0.001349241,0.0446,0.0443957,0.03590798,0.06154444,0.04152535,13,35,0.827755102,20,151,0.669795918,3,3.315,0.369032732,6,3.97,0,0
RT99017,TidalCreek,7/7/99,7,1999,1999-2008,32.82468,-79.86668,Charleston,1.1,44,3.784189634,2.06,3.36,5.54,8.29,4.93,18.3,18.1,18.78,19.9,1.8,28.1,28.28,29.91,31.54,3.26,7.08,7.38,7.72,0.64,6.199999809,39.57,,0.950000018,13.35025215,,,300,2.477121255,62.02299881,46.04000092,1.54400003,0.522899985,,0.01134273,0.0379,0.001193523,0.001769066,0.008577778,0.01480577,18,40,0.8675,11,148,0.655861943,2.5,4.214,0.268534388,0,0,118,79.73
RO99301,OpenWater,7/7/99,7,1999,1999-2008,32.88486,-79.876,Berkeley,2,223,5.407171771,4.45,0.75,5.44,7.77,7.02,20.7,19.7,20.48,21,1.3,28.7,28.5,29.11,30.03,1.53,7.39,7.65,7.86,0.47,6.900000095,10.9,,0.239999995,7.689564705,,,2,0.301029996,28.02970123,32.77999878,2.796999931,0,,0,0.0166,0.000880506,0.000870914,0.01553889,0.006669034,,,,15,246,0.828677104,4,2.747,0.436963962,82,33.33,49,19.92
RT99027,TidalCreek,7/7/99,7,1999,1999-2008,32.89336,-79.90693,Berkeley,2.8,88,4.477336814,3.21,2.6,4.74,6.36,3.76,19.4,19.7,20.13,20.6,0.9,28.7,29.17,29.87,30.74,1.57,7.16,7.3,7.47,0.31,4.800000191,12,,0.25,15.26950264,,,13,1.113943352,39.38999939,0,0.968000054,0,,0,0.0191,0,0.000354974,0.005377778,0.006604312,11,74,0.805697589,14,48,0.892361111,3,2.609,0.425740087,0,0,10,20.83
RT99021,TidalCreek,7/8/99,7,1999,1999-2008,32.67164,-79.92906,Charleston,1.5,99,4.59511985,3.6,2.13,3.87,5.67,3.54,33.2,31.3,32.21,33.2,1.9,28.3,27.87,29.16,30.21,2.34,7.35,7.65,7.89,0.54,0,11.18,,2.024999976,59.43898392,,,4,0.602059991,140.2498016,80.33999634,0,0,,0,0.0696,0.002334542,0.003147884,0,0.0244672,12,56,0.820153061,17,58,0.87654321,4,2.423,0.457733462,4,6.9,1,1.72
RO99312,OpenWater,7/8/99,7,1999,1999-2008,32.63149,-80.06459,Charleston,6,263,5.572154032,4.54,2.29,4.61,5.5,3.21,30.7,28.6,30.07,32.1,3.5,29.2,29.62,30.38,31.43,1.81,7.53,7.67,7.85,0.32,3,7.35,,1.370000005,25.76458359,,,0,0,80.79029846,27.90999985,1.143000007,0.115999997,,0.002516269,0.0495,0.000798989,0.000623102,0.00635,0.01749051,16,57,0.85380117,47,195,0.93275541,4,1.764,,18,9.23,8,4.1
RO99327,OpenWater,7/8/99,7,1999,1999-2008,32.7109,-79.98936,Charleston,2,445,6.098074282,4.86,4.2,5.58,6.25,2.05,25.8,21.6,25.69,28.8,7.2,29.3,28.94,29.25,29.89,0.95,7.52,7.65,7.82,0.3,2.299999952,15.57,,0.305000007,6.575146198,,,4,0.602059991,31.76650047,12.34000015,0,0,,0,0.0226,0.000289104,0.000275496,0,0.00769397,9,27,0.537722908,31,72,0.912808642,4,2.714,0.519691803,11,15.28,24,33.33
RO99317,OpenWater,7/8/99,7,1999,1999-2008,32.63379,-79.99789,Charleston,5.3,1037,6.944087208,5.09,3.32,5.1,6.13,2.81,32.2,28.99,32.08,34.58,5.59,28.8,28.19,28.79,29.39,1.2,7.67,7.81,7.92,0.25,0,10.35,,0.095000003,5.534047604,,,2,0.301029996,30.86000061,14.30999947,0,0,,0,0.0138,0.000328056,0.000319477,0,0.004779392,9,36,0.712962963,29,226,0.876631342,4,1.586,,41,18.14,7,3.1
RT99036,TidalCreek,7/13/99,7,1999,1999-2008,33.08941,-79.36432,Charleston,2,37,3.610917913,3.01,2.62,4.04,5.74,3.12,31.5,30.5,32.38,34.3,3.8,28.2,26.23,27.41,28.36,2.13,7.17,7.48,7.92,0.75,0,12.28,,4.035000086,95.82993317,,,8,0.903089987,203.9499969,75.73999786,0,0,,0,0.1044,0.003496709,0.008529202,0,0.03669782,11,58,0.637931034,24,165,0.829520466,3.5,3.342,0.420194781,6,3.64,52,31.52
RT99001,TidalCreek,7/13/99,7,1999,1999-2008,33.02613,-79.46133,Charleston,4,61,4.110873864,3.21,2.39,3.91,5.54,3.15,34.1,33.2,33.76,34.5,1.3,27.7,26.7,27.5,28.97,2.27,7.36,7.55,7.85,0.49,0,7.79,,3.710000038,89.49874115,,,13,1.113943352,208.6999969,40.20000076,2.256000042,0,,0,0.1035,0.002668689,0.001595374,0.01253333,0.03646196,9,36,0.609567901,9,47,0.791308284,2.5,2.521,0.372675927,3,6.38,8,17.02
RT99026,TidalCreek,7/13/99,7,1999,1999-2008,33.08434,-79.42012,Charleston,2,69,4.234106505,2.59,1.23,2.65,3.73,2.5,32.4,32.3,32.95,33.7,1.4,27.8,26.81,27.51,28.78,1.97,7.14,7.31,7.59,0.45,0,8.7,,0.429999992,12.18973541,,,0,0,49.69000244,0,0,0,,0,0.0245,0,0,0,0.008168937,15,357,0.468516818,29,532,0.657491276,4,3.881,0.368714288,76,14.29,334,62.78
RO99311,OpenWater,7/13/99,7,1999,1999-2008,33.13766,-79.27973,Charleston,3,432,6.068425588,4.92,3.83,4.46,5.4,1.57,33.5,24.88,30.53,34.56,9.68,27.2,26.79,27.51,28.23,1.44,7.33,7.64,7.93,0.6,0,8.52,,0.039999999,0.892981231,,,0,0,12.1171999,0,0.556500018,0,,0,0.0138,0,0,0.003091667,0.004734413,6,16,0.421875,16,70,0.824081633,3,2.202,,6,8.57,7,10
RO99307,OpenWater,7/13/99,7,1999,1999-2008,33.20107,-79.41741,Georgetown,2,188,5.236441963,4.57,3.05,4.87,5.81,2.76,3.3,0.4,3.05,10.9,10.5,27.9,26.33,27.03,27.6,1.27,6.54,6.7,7.83,1.29,3.700000048,26.2,,0.100000001,2.3262918,,,900,2.954242509,11.27169991,0,1.098999977,0,,0,0.0102,0,0.000204501,0.006105555,0.003663203,13,44,0.61053719,17,1559,0.507638611,4,1.259,0.434933205,47,3.01,19,1.22
RT99013,TidalCreek,7/14/99,7,1999,1999-2008,32.33599,-80.55956,Beaufort,3,87,4.465908119,3.85,1.74,3.75,5.03,3.29,32.6,33.2,33.61,34.2,1,28.2,29.04,29.48,30.41,1.37,7.41,7.59,7.86,0.45,,7.04,,2.465000033,94.80897522,,,4,0.602059991,173.8712921,61.38000107,1.674000025,0,,0,0.0927,0.002846962,0.001370334,0.0093,0.03281625,19,185,0.790357925,35,150,0.910639958,4,2.194,0.529318118,16,10.67,1,0.67
RT99003,TidalCreek,7/14/99,7,1999,1999-2008,32.33099,-80.49848,Beaufort,4.5,72,4.276666119,3.69,1.55,3.68,5.92,4.37,32.9,31.8,32.35,32.8,1,28.1,28.22,28.76,30.67,2.45,7.28,7.46,7.81,0.53,,7.84,,1.179999948,35.99541855,,,22,1.342422681,83.88089752,16.22999954,1.169999957,0.047200002,,0.001023861,0.0493,0.000510898,0.000532461,0.0065,0.01708052,24,181,0.707243369,27,156,0.861727277,3.5,2.704,0.495817785,6,3.85,52,33.33
RT99008,TidalCreek,7/14/99,7,1999,1999-2008,32.36264,-80.47678,Beaufort,2.8,68,4.219507705,4.73,,,,0,31.4,31.3,32.09,33,1.7,30.2,28.09,29.11,31.35,3.26,7.31,7.5,7.61,0.3,,6.09,,0.98999998,30.6850605,,,2,0.301029996,72.31929779,0,1.159999967,0,,0,0.0403,0,0,0.006444444,0.01370475,16,147,0.674070989,24,259,0.842792858,4,2.714,0.472816796,74,28.57,122,47.1
RO99324,OpenWater,7/20/99,7,1999,1999-2008,32.39155,-80.84245,Jasper,5,164,5.099866428,3.73,1.81,3.81,5.24,3.43,26.7,24.4,26.4,27.3,2.9,29.3,29.45,30.35,31.12,1.67,7.12,7.38,7.49,0.37,2.200000048,8.13,,0.914999992,30.04274368,,,,,237.0953979,23.61999893,0.237000003,0,,0,0.0936,0.001539118,0.000527326,0.001316667,0.03207374,14,84,0.686791383,46,654,0.706367051,3.5,1.097,0.589477179,4,0.61,1,0.15
RO99325,OpenWater,7/20/99,7,1999,1999-2008,32.31847,-80.80146,Beaufort,6,880,6.779921907,3.52,3.99,5.31,5.88,1.89,28.2,28.1,29.24,30.2,2.1,29.1,29.06,29.38,29.97,0.91,7.33,7.58,7.7,0.37,0,5.29,,0.129999999,8.394562721,,,,,31.19229889,0,0,0,,0,0.0205,0,0.000225487,0,0.006833331,5,35,0.525714286,52,453,0.928933784,4.5,2.971,0.646039017,113,24.94,108,23.84
RO99304,OpenWater,7/20/99,7,1999,1999-2008,32.34213,-80.90036,Beaufort,2.5,255,5.541263545,3.86,3.85,4.91,5.63,1.78,23.4,23.5,25.3,26.9,3.4,29.8,29.77,30.53,31.58,1.81,7.21,7.35,7.43,0.22,2.900000095,8.61,,0.435000002,12.44566631,,,,,24.24500084,0,0.921000004,0.072999999,,0.001583514,0.0106,0,0,0.005116667,0.003932662,6,56,0.136479592,66,1232,0.88779268,4.5,2.731,,104,8.44,54,4.38
RO99305,OpenWater,7/20/99,7,1999,1999-2008,32.30514,-80.7585,Beaufort,10,1793,7.491645474,4.38,4.48,5.97,7.5,3.02,29.4,29.5,30.22,30.6,1.1,29.1,29.07,29.62,30.65,1.58,7.52,7.73,7.86,0.34,0,4.66,,0.085000001,3.564938784,,,,,8.379500389,0,1.011000037,0.036600001,,0.000793926,0.0067,0,0,0.005616667,0.002573009,7,29,0.458977408,76,1758,0.870092466,4.5,1.674,,145,8.25,3,0.17
RT99005,TidalCreek,7/21/99,7,1999,1999-2008,32.44043,-80.65215,Beaufort,1,187,5.231108617,3.98,1.9,3.96,5.8,3.9,27.9,28,28.71,29.4,1.4,30.1,30.23,31.11,31.82,1.59,7.26,7.51,7.65,0.39,4.900000095,6.2,,0.99000001,40.92618942,,,,,112.5794983,142.6499939,1.301999927,0.233999997,,0.005075922,0.0578,0.005462104,0.004899312,0.007233333,0.02299541,14,72,0.662808642,16,70,0.757142857,3,1.109,0.494399138,6,8.57,2,2.86
RO99329,OpenWater,7/21/99,7,1999,1999-2008,32.42656,-80.67079,Beaufort,5.5,445,6.098074282,4.24,3.65,4.51,5.53,1.88,28.4,29,29.78,30.39,1.39,30.3,30.42,30.9,31.47,1.05,7.43,7.51,7.59,0.16,,5.84,,0.145000003,4.972165108,,,2,0.301029996,35.1108017,0,0,0,,0,0.0252,0,0,0,0.00839463,5,39,0.503616042,68,981,0.889123258,5,2.913,,460,46.89,28,2.85
RT99022,TidalCreek,7/27/99,7,1999,1999-2008,32.1578,-80.78822,Beaufort,2,29,3.36729583,3.65,0.83,3.52,5.88,5.05,28.4,27.5,30.08,33.2,5.7,30.6,31.69,32.43,34.55,2.86,7.2,7.63,8.09,0.89,2.200000048,6.01,,1.284999967,34.57648849,,,30,1.477121255,87.57540131,44.47999954,0,0,,0,0.04,0.00115471,0.001198875,0,0.01394675,17,56,0.727678571,32,224,0.820988733,3,3.293,0.471941463,5,2.23,99,44.2
RO99320,OpenWater,7/27/99,7,1999,1999-2008,32.19842,-80.80661,Beaufort,10,1055,6.961296046,4.64,3.3,4.38,5.61,2.31,29.3,28.4,29.74,30.7,2.3,31,30.85,31.34,33.18,2.33,7.66,7.79,7.97,0.31,0,6.94,,0.309999995,11.1553278,,,2,0.301029996,42.00669861,0,0,0,,0,0.0389,0,0,0,0.0129508,13,74,0.395544193,67,745,0.852566258,4.5,3.374,,60,8.05,241,32.35
RO99330,OpenWater,7/27/99,7,1999,1999-2008,32.18265,-80.74171,Beaufort,4,211,5.351858133,3.64,1.99,3.72,5.08,3.09,25.8,26.2,27.15,29.1,2.9,31.6,31.34,31.79,32.6,1.26,7.31,7.44,7.7,0.39,3.099999905,16.67,,0.244999997,11.37312412,,,11,1.041392685,38.56489944,0,0,0,,0,0.0234,0,0,0,0.007804778,23,79,0.855952572,33,641,0.671270753,4,3.289,0.403380619,272,42.43,246,38.38
RO99315,OpenWater,7/27/99,7,1999,1999-2008,32.21238,-80.90505,Beaufort,3,105,4.65396035,4.55,,,,0,21.9,22.2,23.74,26,3.8,32.7,32.23,32.87,34,1.77,7.23,7.37,7.54,0.31,6,18.23,,0.039999999,1.537505031,,,11,1.041392685,10.68200016,0,1.53399992,0.066799998,,0.001449024,0.0044,0,0,0.008522222,0.001998825,16,476,0.325180072,29,551,0.860118404,4,3.188,,49,8.89,46,8.35
RO99323,OpenWater,7/28/99,7,1999,1999-2008,32.6066,-80.22701,Charleston,2,1436,7.26961675,3.9,3.56,4.91,6.3,2.74,29.4,27.5,30.11,32.8,5.3,31.5,30.49,31.14,31.93,1.44,7.43,7.66,7.92,0.49,,10.08,,0.349999994,10.89785385,,,30,1.477121255,40.17129898,7.610000134,0,0,,0,0.036,0.000162206,0.000431104,0,0.01207403,,,,51,232,0.947893419,4,2.157,,10,4.31,11,4.74
RT99029,TidalCreek,7/28/99,7,1999,1999-2008,32.57622,-80.22423,Charleston,1,33,3.496507561,4.03,,,,0,29.4,30.1,32.33,35.3,5.2,32.6,30.64,31.66,33.21,2.57,7.19,7.6,7.97,0.78,,31.97,,0.305000007,9.885460854,,,8,0.903089987,22.24139977,0,0,0,,0,0.0179,0,0.000126139,0,0.005983246,6,23,0.514177694,25,172,0.747111295,3,3.688,0.375220235,6,3.49,74,43.02
RT99019,TidalCreek,7/28/99,7,1999,1999-2008,32.56216,-80.24406,Charleston,2,44,3.784189634,3.63,1.87,4.01,6.6,4.73,30.8,31,31.48,32.6,1.6,31.8,31.24,32.1,33.8,2.56,7.2,7.45,7.84,0.64,,21.53,,0.064999999,2.907411337,,,4,0.602059991,9.037099838,0,1.029000044,0,,0,0.0101,0,0,0.005716667,0.0035993,9,261,0.186697201,15,144,0.829771627,3.5,2.638,0.391018844,22,15.28,37,25.69
RT99010,TidalCreek,8/3/99,8,1999,1999-2008,32.50625,-80.802,Beaufort,2,55,4.007333185,2.4,2.4,4.46,5.89,3.49,23.7,23.5,24.64,26.1,2.6,32,30.72,32.53,33.56,2.84,7.01,7.37,7.61,0.6,12.89999962,9.16,,1.170000017,31.24022675,,,8,0.903089987,88.90399933,62.97999954,2.395100117,0.165000007,,0.003579176,0.0478,0.003171419,0.002000804,0.01330611,0.01861479,6,149,0.152515652,18,73,0.856867284,4,2.691,0.403864749,9,12.33,8,10.96
RO99313,OpenWater,8/3/99,8,1999,1999-2008,32.54594,-80.75418,Beaufort,2,309,5.733341277,4.17,,,,0,22.7,22.6,22.79,23.1,0.5,32.3,31.42,32.77,33.45,2.03,7.41,7.5,7.64,0.23,8.100000381,12.09,,0.745000005,18.99999046,,,17,1.230448921,43.91799927,47.04000092,1.437000036,0.058400001,,0.001266811,0.0186,0.001818475,0.001181238,0.007983333,0.007675323,8,43,0.563547864,10,38,0.738227147,2,1.5,0.406911374,0,0,5,13.16
RT99024,TidalCreek,8/3/99,8,1999,1999-2008,32.45226,-80.83653,Jasper,3,105,4.65396035,2.63,1.64,3.47,4.39,2.75,25.1,24.9,25.69,26.9,2,32.6,31.18,32.57,33.52,2.34,7.03,7.4,7.56,0.53,7.199999809,5.55,,0.074999999,4.288729191,,,11,1.041392685,19.65189934,0,0.338999987,0,,0,0.0184,0,0.000140427,0.001883333,0.006208972,8,184,0.578331758,19,164,0.817578125,3,2.694,0.440528432,8,4.88,43,26.22
RO99319,OpenWater,8/4/99,8,1999,1999-2008,32.467,-80.54373,Beaufort,5,846,6.74051936,4.11,,,,0,24.1,24.8,26.74,29,4.2,31.7,30.98,31.8,33.16,2.18,7.38,7.51,7.72,0.34,2.700000048,9.34,,0.644999981,16.06286049,,,2,0.301029996,48.24610138,0,0,0,,0,0.0351,0,0.000158957,0,0.01170709,3,4,0.625,46,273,0.909875074,4,2.728,,16,5.86,72,26.37
RO99308,OpenWater,8/4/99,8,1999,1999-2008,32.4628,-80.45373,Beaufort,10,7278,8.892611378,4.3,4.56,5.86,6.55,1.99,27.9,27.3,32.12,36.2,8.9,31.6,31.04,31.83,32.44,1.4,7.53,7.85,8.04,0.51,10.5,10.9,,0.200000003,93.16891479,,,4,0.602059991,60.0102005,0,0.987999976,0,,0,0.0309,0,6.30E-05,0.005488889,0.01051961,14,652,0.169252701,74,491,0.944681861,4,1.78,,12,2.44,10,2.04
RO99309,OpenWater,8/4/99,8,1999,1999-2008,32.48787,-80.58732,Beaufort,5,1915,7.557472902,4.2,3.43,4.94,6.24,2.81,24.6,24.6,25.4,26.1,1.5,32.1,31.4,32.08,32.82,1.42,7.41,7.55,7.71,0.3,12.39999962,9.71,,0.340000004,11.69611931,,,0,0,39.54050064,10.48999977,1.376000047,0.0605,,0.001312364,0.0262,0.000227544,0.000234194,0.007644445,0.009314269,3,6,0.611111111,24,121,0.814561847,3.5,2.495,0.505403437,9,7.44,8,6.61
