StationCode,RT_RO_Other,Logger_DO_mean,Logger_Salin_mean,Logger_Temp_mean,Logger_pH_mean,Chl_a_DHEC,SiltClay,Entero_DHEC,LOG_entero,FecalColiform_DHEC,LOG_FC,Met_Total,PAH_Total,PCB_Total,DDT_Total,PBDE_Total,ERMQ_DDT_tot,ERMQ_met,ERMQ_PAH_tot,ERMQ_PCB_tot,ERMQ_ALL,trawl_SP_RICH,trawl_ABUND,benth_SP_RICH,benth_ABUNDANCE,BIBI,MAMBI,HUC14_IMPERV_PRCT,HUC14_DEV_cut,HUC14_DEV_quant
RO00006,OpenWater,5.44,29.16,29.05,7.91,16,10.19,,,2,0.301029996,9.52,0,0,0,,0,0.01,0.000738971,0,0.003372947,25,304,12,28,3.5,0.41,1.58,UNDEV,UNDEV
RO00007,OpenWater,4.96,3.86,30.26,6.86,10.4,0.7,,,0,0,3.72,8.18,0,0,,0,0.0041,0.000315681,0,0.001444367,4,24,9,284,4,,5.38,UNDEV,DEV
RO00008,OpenWater,5.18,33.05,29.31,7.67,8.56,9.71,,,0,0,21.04,0,0,0,,0,0.01,0,0,0.004224845,6,21,26,176,4,0.58,1.04,UNDEV,UNDEV
RO00009,OpenWater,4.21,34.86,29.17,7.54,5.21,25.95,,,7,0.84509804,86.95,28.59,2.16,0,,0,0.03,0.000965351,0.01,0.01,8,210,38,225,4.5,0.63,9.19,UNDEV,DEV
RO00010,OpenWater,5.97,34.79,28.9,7.91,5.11,6.5,,,0,0,48.19,0,0.39,0,,0,0.01,0,0.002213333,0.005891375,1,2,64,1541,4.5,0.59,5.45,UNDEV,DEV
RO00015,OpenWater,4.45,2.95,29.08,6.95,6.59,29.77,,,30,1.477121255,60.31,252.16,1.26,0.74,,0.01,0.02,0.01,0.007022222,0.01,17,200,8,92,2.5,0.32,2.84,UNDEV,DEV
RO00016,OpenWater,4.72,36.72,30.56,7.52,15.5,24.49,,,0,0,27.55,0,0,0,,0,0.02,0.000186864,0,0.008346916,24,135,42,402,3.5,0.59,0.44,UNDEV,UNDEV
RO00017,OpenWater,5.63,33.16,29.11,7.63,9.07,4.42,,,0,0,4.47,0,0.26,0.05,,0.001133406,0.005,0,0.00145,0.001846843,24,491,60,863,5,,0.24,UNDEV,UNDEV
RO00018,OpenWater,5.29,32.75,29.41,7.58,4.98,4.77,,,0,0,1.84,0,0.15,0.04,,0.001079176,0.0027,0,0.000880556,0.001072203,6,14,17,82,3.5,,1.04,UNDEV,UNDEV
RO00019,OpenWater,4.6,34.23,30.37,7.43,6.53,26.73,,,0,0,66.62,939.39,0.88,0,,0,0.02,0.03,0.004922222,0.03,9,86,23,197,3,0.51,1.58,UNDEV,UNDEV
RO00020,OpenWater,4.52,9.81,29.27,7.25,6.72,20.57,,,26,1.414973348,54.86,3.83,0.11,0.18,,0.003904556,0.02,0.002042999,0.000616667,0.008727113,13,145,16,106,3.5,0.39,0.12,UNDEV,UNDEV
RO00021,OpenWater,5.83,18.95,29.75,7.5,30.8,16.45,,,13,1.113943352,14.14,7.73,0.17,0.05,,0.001262473,0.01,0.00070392,0.000966667,0.005002851,13,72,21,161,3,,0.45,UNDEV,UNDEV
RO00022,OpenWater,5.66,35.84,28.97,7.92,11.2,2.16,,,4,0.602059991,26.61,0,0.56,0.04,,0.00105423,0.01,0.000220129,0.003116667,0.006746278,4,72,15,135,3,0.43,1.68,UNDEV,UNDEV
RO00023,OpenWater,5.31,32.55,29.48,7.62,5.33,16.32,,,2,0.301029996,62.86,0,0,0.28,,0.006145337,0.04,0.000200706,0,0.01,5,6,54,908,5,0.69,2.36,UNDEV,DEV
RO00024,OpenWater,4.97,33.94,28.96,7.58,5.76,10.44,,,2,0.301029996,5.03,0,0.31,0,,0,0.0037,0,0.00175,0.001322509,6,17,62,2151,4.5,0.71,4.67,UNDEV,DEV
RO00033,OpenWater,6.05,27.38,30.2,7.96,8.67,12.08,,,0,0,41.25,27.59,0.37,0,,0,0.02,0.000918244,0.002111111,0.007594262,9,80,65,1199,4.5,,20.27,DEV,DEV
RO00034,OpenWater,4.11,2.07,29.55,6.74,15,37.43,,,44,1.643452676,105.59,14.78,0.39,0.21,,0.00462039,0.06,0.01,0.002205556,0.02,12,91,6,29,2.5,0.39,0.22,UNDEV,UNDEV
RO00035,OpenWater,4.18,32.53,29.37,7.61,9.2,11.27,,,30,1.477121255,88.93,0,0.53,0,,0,0.03,0.002277192,0.003,0.01,19,124,12,22,3.5,,0.47,UNDEV,UNDEV
RO00036,OpenWater,5.35,33.32,29.76,7.61,7.85,5.5,,,2,0.301029996,30.32,0,0,0.09,,0.002160521,0.04,0,0,0.01,7,19,54,1026,5,,0.61,UNDEV,UNDEV
RO00037,OpenWater,6.06,34.64,28.49,7.75,4.85,1.33,,,0,0,2.09,0,0.18,0,,0,0.01,0,0.001051389,0.004062724,9,17,22,409,3,0.51,4.81,UNDEV,DEV
RO00045,OpenWater,4.77,32.92,29.91,7.52,9.17,6,,,140,2.146128036,13,0,0,0.04,,0.000893709,0.0079,0,0,0.002720422,11,24,18,115,3.5,0.41,6.42,UNDEV,DEV
RO00046,OpenWater,4.08,20.35,29.49,7.06,8.8,2.8,,,0,0,0.6,0,0.18,0.07,,0.001542299,0.0012,0.000148911,0.001005556,0.000620118,13,182,5,55,2.5,0.29,0.25,UNDEV,UNDEV
RO00047,OpenWater,5.26,33.56,28.64,7.69,4.63,27.41,,,0,0,38.79,0,0.28,0,,0,0.02,0.001178782,0.001588889,0.009811368,13,31,47,187,4.5,,4.81,UNDEV,DEV
RO00048,OpenWater,5.28,35.28,29.18,7.69,7.28,13.16,,,0,0,55.19,0,0.46,0.03,,0.000804772,0.02,0.000131943,0.002566667,0.008605219,1,1,49,902,4.5,,5.45,UNDEV,DEV
RO00049,OpenWater,5.57,33.91,28.71,7.74,5.46,3.17,,,0,0,5,0,0.12,0,,0,0.0047,0,0.0006875,0.001583341,3,16,19,414,3,0.46,6.24,UNDEV,DEV
RO00055,OpenWater,4.8,35.18,29.55,7.81,13.8,1.76,,,4,0.602059991,6.47,0,0,0,,0,0.0026,0,0,0.000857737,12,34,16,108,3.5,0.55,1.58,UNDEV,UNDEV
RO00056,OpenWater,4.76,22.89,28.86,7.54,5.69,98.47,,,7,0.84509804,405.84,4442.39,2.17,1.07,,0.02,0.18,0.15,0.01,0.16,14,50,9,86,2,0.25,33.21,DEV,DEV
RO00057,OpenWater,3.93,32.55,29.82,7.34,9.87,7.5,,,13,1.113943352,23.82,0,0,0.15,,0.003449024,0.01,0,0,0.005135694,12,110,24,460,3.5,,0.96,UNDEV,UNDEV
RO00058,OpenWater,4.86,33.58,29.63,7.55,7.53,5.28,,,0,0,23.41,0,0.13,0,,0,0.02,0,0.000761111,0.0077193,15,69,59,1209,4.5,,1.73,UNDEV,DEV
RO00059,OpenWater,4.62,27.06,30.36,7.53,6.86,11.88,,,2,0.301029996,40.71,9.3,0.46,0,,0,0.01,0.000207626,0.002583333,0.005180825,6,40,67,1529,5,,9.6,UNDEV,DEV
RO01108,OpenWater,5.97,20.09,28.74,7.82,8.96,73.32,,,0,0,198.07,52.29,1.03,0,,0,0.1,0.003750223,0.005777778,0.03,5,65,9,71,1.5,,1.9,UNDEV,DEV
RO01109,OpenWater,4.76,10.43,28.02,7.42,7.12,4.81,,,60,1.77815125,44.24,33.54,0.1,0,,0,0.02,0.001164047,0.000594445,0.008144461,5,12,8,35,3,0.38,5.38,UNDEV,DEV
RO01110,OpenWater,5.13,32.81,29.56,7.71,10.5,6.73,,,0,0,31.66,0,0.13,0,,0,0.02,0,0.000761111,0.006746027,8,9,10,25,2.5,0.44,0.07,UNDEV,UNDEV
RO01111,OpenWater,5.67,35.06,30.05,7.74,3.21,2.06,,,0,0,28.18,0,0.12,0,,0,0.03,0,0.000722222,0.01,5,7,28,113,4,,1.73,UNDEV,DEV
RO01112,OpenWater,3.36,32.62,30.8,7.69,7.96,9.71,,,,,27.42,0,0,0,,0,0.01,0,0,0.005463562,6,11,59,403,4.5,0.7,7.27,UNDEV,DEV
RO01113,OpenWater,5.46,22.98,28.46,7.89,37.9,59.85,,,2,0.301029996,194.49,19.72,0.13,0.09,,0.002156182,0.1,0.002177398,0.000733333,0.03,12,381,13,106,3.5,0.35,0.12,UNDEV,UNDEV
RO01114,OpenWater,4.88,19.53,29.5,7.3,6.28,1.67,,,6,0.77815125,2.06,0,0.14,0,,0,0.0012,0,0.000783333,0.000437407,6,10,5,11,2.5,0.39,2.01,UNDEV,DEV
RO01115,OpenWater,4.73,32.02,29.53,7.65,10.5,4.84,,,0,0,18.34,0,0.15,0,,0,0.01,0,0.000841667,0.005278091,4,16,14,630,2.5,,1.04,UNDEV,UNDEV
RO01116,OpenWater,3.81,28.76,30.01,7.36,6.21,2.8,,,0,0,1.03,0,0.27,0,,0,0.0011,0,0.00155,0.000434502,9,69,8,38,2.5,0.45,0.13,UNDEV,UNDEV
RO01117,OpenWater,5.42,32.21,30.75,7.75,8.46,15.2,,,,,61.79,23.98,0,0,,0,0.02,0.000535587,0,0.009937078,8,40,54,533,5,,7.27,UNDEV,DEV
RO01121,OpenWater,5.23,10.02,29.23,7.33,26.3,78.1,,,18,1.255272505,197.23,10.4,1.76,0,,0,0.11,0.03,0.00982963,0.03,0,0,13,361,5,0.31,1.9,UNDEV,DEV
RO01122,OpenWater,5.32,24.28,28.45,7.38,8.32,25.7,,,30,1.477121255,68.67,3.36,0,0,,0,0.03,0.000943695,0,0.01,18,169,9,593,2.5,0.17,0.45,UNDEV,UNDEV
RO01123,OpenWater,5.23,33.92,29.66,7.89,7.14,4.51,,,0,0,4.9,0,0.14,0,,0,0.0038,0,0.000822222,0.001290543,11,34,85,1424,5,,1.68,UNDEV,UNDEV
RO01124,OpenWater,3.03,31.11,29.78,7.44,7.35,13.74,,,0,0,46.72,30.85,0.14,0,,0,0.02,0.001953027,0.000794445,0.009189907,0,0,30,178,4,,2.36,UNDEV,DEV
RO01125,OpenWater,5.1,34.61,31.15,7.48,8.75,62.81,,,,,188.61,0,1.48,0,,0,0.09,0,0.008222222,0.03,6,21,30,543,3.5,0.49,4.67,UNDEV,DEV
RO01129,OpenWater,5.93,31.42,27.92,7.99,5.96,23.4,,,23,1.361727836,81.38,31.32,0,0,,0,0.04,0.001667485,0,0.01,22,657,58,836,4.5,0.61,11.57,UNDEV,DEV
RO01130,OpenWater,5.77,21.24,29.21,7.77,9.17,49.89,,,201,2.303196057,165.7,0,0.34,0,,0,0.08,0.000241115,0.001888889,0.02,7,64,29,434,3,0.44,11.67,UNDEV,DEV
RO01131,OpenWater,5.34,29.87,29.82,7.6,7.24,70.04,,,0,0,162.96,44.56,0.57,0,,0,0.09,0.002431238,0.003216667,0.03,8,92,19,96,3,0.49,0.47,UNDEV,UNDEV
RO01132,OpenWater,4.9,34.27,29.93,7.63,6.62,29.73,,,2,0.301029996,75.72,18.13,0.32,0,,0,0.04,0.000404983,0.001811111,0.01,25,238,15,130,3,0.39,0.61,UNDEV,UNDEV
RO01133,OpenWater,5.58,33.4,29.01,7.99,10.2,20.35,,,0,0,77.05,0,0,0,,0,0.03,0.000136855,0,0.01,11,15,17,406,3,,4.81,UNDEV,DEV
RO01144,OpenWater,5.05,31.24,29.99,7.82,6.3,1.47,,,2,0.301029996,4.18,0,0.18,0,,0,0.0034,0,0.001022222,0.001169798,13,82,12,78,3.5,0.45,1.79,UNDEV,DEV
RO01145,OpenWater,5.08,32.28,29.84,7.63,7.24,3.03,,,4,0.602059991,18.02,0,0.22,0,,0,0.02,0,0.001233333,0.007591184,22,114,21,144,4,,0.96,UNDEV,UNDEV
RO01146,OpenWater,6.2,34.65,30.76,7.74,7.85,16.03,,,,,72.58,0,0.07,0,,0,0.03,0.000170789,0.000416667,0.01,5,18,75,782,5,,0.44,UNDEV,UNDEV
RO01147,OpenWater,2.73,35.25,29.28,7.67,12,20.83,,,9,0.954242509,46.66,0,0.81,0,,0,0.02,0.000174585,0.004540555,0.008553208,15,371,31,680,4,0.46,5.45,UNDEV,DEV
RO01148,OpenWater,5.12,33.57,27.74,7.93,14.5,35.81,,,0,0,88.76,14.47,0.28,0.12,,0.002776573,0.04,0.000522861,0.001588889,0.01,17,178,32,134,3.5,0.54,1.57,UNDEV,UNDEV
RO01161,OpenWater,5.75,12.36,29.12,7.53,15.9,9.44,,,4,0.602059991,37.16,12.27,0,0.08,,0.001863341,0.02,0.001224995,0,0.008000454,3,91,12,166,3.5,,1.9,UNDEV,DEV
RO01162,OpenWater,5.05,23.56,29.71,7.84,7.22,9.61,,,8,0.903089987,28.9,3.25,0.17,0,,0,0.01,7.26E-05,0.000972222,0.006408776,14,38,24,110,3.5,,9.46,UNDEV,DEV
RO01163,OpenWater,4.76,26.3,29.55,7.69,11.6,3.1,,,0,0,20.6,0,0.15,0,,0,0.01,0,0.000877778,0.006445736,4,24,15,63,3.5,0.42,1.57,UNDEV,UNDEV
RO01164,OpenWater,3.35,32.68,29.12,7.54,6.01,21.96,,,2,0.301029996,61.68,4.03,0.23,0.07,,0.001711497,0.03,0.000243794,0.001283333,0.01,12,50,31,136,3.5,0.58,1.04,UNDEV,UNDEV
RO01165,OpenWater,5.09,32.43,29.94,7.86,8.96,9.18,,,0,0,65.43,0,0,0,,0,0.02,0,0,0.009682372,21,193,33,569,4.5,,0.34,UNDEV,UNDEV
RO026001,OpenWater,5.07,36.35,27.76,7.73,5.86,4.14,,,0,0,8.69,0,0,0,,0,0.01,0,0,0.003784041,15,179,17,43,4,0.48,0.07,UNDEV,UNDEV
RO026002,OpenWater,5.51,34.27,29.03,7.8,9.36,27.11,,,2,0.301029996,26.25,0,0.31,0,,0,0.01,0,0.001744444,0.006676751,27,112,44,249,4,,1.58,UNDEV,UNDEV
RO026003,OpenWater,5.04,35.69,29.83,7.72,6.85,12.33,,,4,0.602059991,41.95,22.64,0,0.08,,0.001854664,0.02,0.000650786,0,0.00858852,10,26,56,1360,5,0.65,5.45,UNDEV,DEV
RO026004,OpenWater,5.95,29.62,29.83,7.88,7.93,9.02,,,4,0.602059991,25.15,0,0,0,,0,0.01,0.000500089,0,0.006150152,7,25,54,1081,4,0.49,0.28,UNDEV,UNDEV
RO026005,OpenWater,4.64,34.62,27.74,7.65,7.8,9.01,,,2,0.301029996,24.04,3.24,0,0,,0,0.01,0.000250714,0,0.005098943,9,107,64,1104,4,0.65,0.13,UNDEV,UNDEV
RO026006,OpenWater,4.71,37.02,29.62,7.73,6.79,4.89,,,0,0,13.56,0,0,0,,0,0.01,0,0,0.003452326,23,487,56,1434,5,,1.57,UNDEV,UNDEV
RO026007,OpenWater,4.63,38.09,27.85,7.59,7.63,7.24,,,4,0.602059991,26.24,0,0.37,0,,0,0.02,0,0.002088889,0.007253661,0,0,59,1763,5,,2.36,UNDEV,DEV
