STATION,YEAR,DJF_PRCP_cm,DJF_TAVG_degC,MAM_PRCP_cm,MAM_TAVG_degC,JJA_PRCP_cm,JJA_TAVG_degC,SON_PRCP_cm,SON_TAVG_degC,ANN_PRCP_cm,ANN_TAVG_degC,DAYS_95prctl_PRCP,DAYS_99prctl_PRCP,DAYS_95prctl_TMAX,DAYS_99prctl_TMAX
BROOKGREEN,1999,34.58,11.42944444,38.16,17.13103448,37.06,26.47119565,77.49,18.59360465,180.04,18.16549296,21,7,26,8
BROOKGREEN,2000,25.34,9.071428571,23.72,18.1673913,41.59,26.06551724,48.89,17.70666667,142.81,17.32583333,20,3,23,4
BROOKGREEN,2001,20.15,8.026666667,28.27,17.32119565,44.05,26.03152174,15.79,19.00176471,105.59,18.22228412,13,3,12,0
BROOKGREEN,2002,20.35,11.02222222,18.66,18.89021739,,,38.83,19.95568182,129.42,18.275,19,4,28,3
BROOKGREEN,2003,23.61,7.563953488,54.49,18.05388889,34.92,26.11521739,,,114.97,17.73909657,14,3,6,1
BROOKGREEN,2004,25.96,7.175,16.84,18.87119565,73.27,27.28206522,22.7,20.01234568,138.51,18.6220339,17,4,22,2
BROOKGREEN,2005,16.52,10.13511905,25.02,16.9327381,45.03,27.57362637,,,97.65,,13,2,,
BROOKGREEN,2006,22.41,10.33875,25.2,18.43146067,30.19,27.0548913,44.12,19.84252874,119.16,19.53586006,21,2,10,1
BROOKGREEN,2007,18.98,10.4617284,10.69,18.71933333,36.43,27.75126582,24.35,21.15764706,94.26,19.52484756,16,0,26,7
BROOKGREEN,2008,25.96,11.62443182,25.93,17.10361446,39.49,27.30421687,54.65,,142.83,18.04892638,20,3,30,6
BROOKGREEN,2009,13.39,9.673717949,27.13,17.4974359,35.33,,25.04,19.15792683,122.79,18.20280528,16,3,10,1
BROOKGREEN,2010,44.8,6.978378378,24.02,17.720625,35.09,28.07151899,40.39,19.52317073,127.04,17.65727554,17,2,31,4
BROOKGREEN,2011,22.18,7.57278481,22.23,19.03815789,22.47,27.83625,20.88,18.9327381,79.18,19.05564263,9,0,22,4
BROOKGREEN,2012,8.8,12.24529412,35.18,18.91032609,56.97,25.77826087,13.52,17.58277778,120.9,18.69930362,15,5,19,6
BROOKGREEN,2013,23.78,10.25777778,34.46,15.37608696,57.93,25.58522727,18.37,18.015,134.62,17.25263889,19,4,4,0
BROOKGREEN,2014,25.38,8.543333333,47.86,16.79402174,49.99,25.83586957,40.67,17.87087912,168.59,17.17438356,26,1,7,0
BROOKGREEN,2015,34.15,7.347777778,30.95,17.35217391,32.09,26.76141304,69.88,19.52472527,163.55,18.33269231,19,3,21,7
BROOKGREEN,2016,37.01,10.50666667,34.89,17.81141304,31.7,27.24230769,35.65,19.45119048,142.72,18.27416201,22,5,29,2
BROOKGREEN,2017,21.86,11.43666667,23.7,18.28423913,58.55,25.99456522,27.46,19.01111111,134.82,18.67554945,21,4,14,0
BROOKGREEN,2018,24.95,9.563333333,37.92,16.12865169,61.01,26.61551724,29.03,19.61516854,160.76,17.97867232,23,5,7,0
CHARLESTON,1999,28.74,12.38222222,22.87,17.94891304,23.36,27.06195652,47.54,19.41703297,117.94,18.99013699,11,4,23,9
CHARLESTON,2000,21.82,10.12307692,15.29,19.13804348,49.89,26.93478261,29.48,18.40604396,116.76,18.30601093,19,2,24,6
CHARLESTON,2001,15.34,8.675,21.86,18.18695652,51.37,26.59347826,15.45,19.5967033,101.63,18.96164384,12,3,9,1
CHARLESTON,2002,16.08,11.75888889,21.47,19.49076087,60.5,26.85652174,48.34,20.32032967,154.98,19.26821918,25,5,23,8
CHARLESTON,2003,21.82,8.808888889,43.62,19.22717391,49.6,26.93967391,22.79,19.89450549,129.64,18.70931507,16,2,1,0
CHARLESTON,2004,19.9,8.343956044,19.07,19.33641304,46.39,27.09565217,16.45,20.22472527,99.72,18.89795082,14,1,19,1
CHARLESTON,2005,14.77,10.36111111,28.49,17.19782609,43.7,27.46086957,24.75,20.52967033,117.31,18.90410959,13,3,15,5
CHARLESTON,2006,24.08,10.61611111,15.64,18.78315217,60.2,27.26304348,27.66,18.89285714,125.25,19.27671233,24,4,25,3
CHARLESTON,2007,21.92,11.62666667,6.62,18.57445652,40.09,27.21358696,32.99,20.49725275,106.85,19.54520548,14,4,19,8
CHARLESTON,2008,25.85,12.03626374,21.74,18.3951087,34.5,27.32119565,48.42,18.35384615,120.26,19.0010929,16,2,19,4
CHARLESTON,2009,7.58,10.75444444,36.95,18.47880435,59.23,27.28858696,13.83,19.78186813,142.24,18.8809589,18,4,8,1
CHARLESTON,2010,48.59,8.411111111,22.61,18.93097826,70.8,28.40108696,23.5,20.23131868,146.27,18.65849315,26,6,27,4
CHARLESTON,2011,19.28,8.358333333,12.94,19.81847826,48.93,28.54619565,17.57,19.25824176,94.06,19.63082192,13,2,40,19
CHARLESTON,2012,9.06,12.38681319,25.14,20.62065217,56.73,26.69673913,13.42,18.69450549,111.74,19.64303279,18,2,18,7
CHARLESTON,2013,36.55,12.28722222,32.06,17.39293478,57.47,27.29456522,25.15,19.84175824,147.65,19.28671233,22,6,11,1
CHARLESTON,2014,17.8,10.97777778,31.5,19.09456522,45.95,28.15217391,36.28,19.80769231,134.67,19.40315068,20,2,36,9
CHARLESTON,2015,28.75,9.565555556,18.53,19.51630435,67.63,27.93315217,75.94,20.71593407,190.21,19.97328767,24,5,27,12
CHARLESTON,2016,29.03,12.54395604,31.68,20.02934783,28.58,28.93913043,58.08,21.02692308,151.55,20.24494536,23,7,47,18
CHARLESTON,2017,22.77,13.80666667,27.89,19.89130435,59.15,27.0625,30.3,20.29725275,134.36,20.14013699,20,1,14,1
CHARLESTON,2018,17.02,11.44222222,43.08,18.56630435,43.41,27.93586957,24.72,21.35054945,146.59,19.95328767,21,4,17,3
SAVANNAH,1999,22.86,12.25,13.91,18.3875,65.21,27.20978261,22.94,19.8543956,123.97,19.24,19,1,22,4
SAVANNAH,2000,15.79,10.34945055,20.58,19.22173913,33.11,27.09076087,23.42,18.49615385,95.13,18.47882514,13,2,24,4
SAVANNAH,2001,13.47,9.191111111,19.61,18.4076087,40.44,26.84076087,12.81,19.6021978,80.42,19.13780822,8,1,4,0
SAVANNAH,2002,11.21,11.85444444,17.54,19.94565217,46.43,27.06847826,36.77,20.56593407,120.53,19.5760274,19,4,19,4
SAVANNAH,2003,19.7,9.203888889,50.93,19.47065217,35.63,27.11684783,21.1,20.75164835,121.27,19.14041096,14,4,4,0
SAVANNAH,2004,15.92,9.247802198,16.01,19.12934783,39.74,26.97282609,22.16,20.4456044,94.56,19.04535519,13,3,7,0
SAVANNAH,2005,13.06,10.71222222,35.36,16.95706522,40.14,27.38043478,26.02,20.49945055,117.02,18.87479452,18,2,18,1
SAVANNAH,2006,24.33,10.49444444,7.32,18.73423913,34.75,27.10054348,21.02,18.99340659,87.6,19.23273973,15,2,26,2
SAVANNAH,2007,19.08,11.67944444,9.47,18.7951087,51.55,27.31413043,29.9,20.55384615,126.87,19.6630137,20,4,23,1
SAVANNAH,2008,43,12.19120879,13.26,19.03206522,44.78,27.92173913,41.64,19.13351648,120.14,19.58606557,23,3,20,4
SAVANNAH,2009,7.4,11.47222222,53.55,19.03097826,47.82,27.40108696,20.7,20.20879121,155.25,19.34767123,23,4,12,0
SAVANNAH,2010,51.45,8.883888889,20.32,18.98423913,33.68,28.81847826,9.98,20.4967033,92.37,18.95657534,14,2,40,7
SAVANNAH,2011,18.74,8.785555556,16.65,20.27173913,35,28.90434783,19.41,19.54230769,88.58,20.00219178,11,2,51,14
SAVANNAH,2012,13.35,12.91703297,31.81,21.37228261,43.71,27.04347826,11.42,19.43296703,102.22,20.22226776,16,1,20,5
SAVANNAH,2013,31.03,12.96722222,23.48,17.7298913,70.23,27.20108696,11.51,20.32362637,137.42,19.65287671,26,4,4,0
SAVANNAH,2014,16.48,11.62277778,29.69,19.23097826,48.94,28.00326087,29.19,20.17307692,128.48,19.72958904,18,3,21,2
SAVANNAH,2015,29.42,10.57388889,24.83,20.42771739,47.86,27.97119565,20.59,21.02582418,121.03,20.44643836,16,2,25,3
SAVANNAH,2016,24.81,13.19450549,41.34,20.35869565,29.72,28.98532609,42.66,21.36923077,140.88,20.62718579,20,8,45,9
SAVANNAH,2017,33.32,14.73222222,37.89,20.64184783,47.27,27.87554348,21.67,21.15494505,135.23,20.97630137,15,6,24,0
SAVANNAH,2018,13.19,12.275,31.14,19.00869565,28.62,28.00108696,21.67,21.60879121,109.34,20.33424658,15,3,14,0
ALL_STATIONS,1999,28.72666667,12.02055555,24.98,17.82248251,41.87666667,26.91431159,49.32333333,19.28834441,140.65,18.79854332,17,4,23.66666667,7
ALL_STATIONS,2000,20.98333333,9.847985347,19.86333333,18.8423913,41.53,26.69702024,33.93,18.20295483,118.2333333,18.0368898,17.33333333,2.333333333,23.66666667,4.666666667
ALL_STATIONS,2001,16.32,8.630925926,23.24666667,17.97192029,45.28666667,26.48858696,14.68333333,19.40022194,95.88,18.77391206,11,2.333333333,8.333333333,0.333333333
ALL_STATIONS,2002,15.88,11.54518518,19.22333333,19.44221014,53.465,26.9625,41.31333333,20.28064852,134.9766667,19.03974886,21,4.333333333,23.33333333,5
ALL_STATIONS,2003,21.71,8.525577089,49.68,18.91723832,40.05,26.72391304,21.945,20.32307692,121.96,18.52960753,14.66666667,3,3.666666667,0.333333333
ALL_STATIONS,2004,20.59333333,8.255586081,17.30666667,19.11231884,53.13333333,27.11684783,20.43666667,20.22755845,110.93,18.8551133,14.66666667,2.666666667,16,1
ALL_STATIONS,2005,14.78333333,10.40281746,29.62333333,17.0292098,42.95666667,27.47164357,25.385,20.51456044,110.66,18.88945206,14.66666667,2.333333333,16.5,3
ALL_STATIONS,2006,23.60666667,10.48310185,16.05333333,18.64961732,41.71333333,27.13949275,30.93333333,19.24293082,110.67,19.34843737,20,2.666666667,20.33333333,2
ALL_STATIONS,2007,19.99333333,11.2559465,8.926666667,18.69629952,42.69,27.42632774,29.08,20.73624865,109.3266667,19.57768891,16.66666667,2.666666667,22.66666667,5.333333333
ALL_STATIONS,2008,31.60333333,11.95063478,20.31,18.17692946,39.59,27.51571722,48.23666667,18.74368132,127.7433333,18.87869495,19.66666667,2.666666667,23,4.666666667
ALL_STATIONS,2009,9.456666667,10.63346154,39.21,18.3357395,47.46,27.34483696,19.85666667,19.71619539,140.0933333,18.81047847,19,3.666666667,10,0.666666667
ALL_STATIONS,2010,48.28,8.091126126,22.31666667,18.5452808,46.52333333,28.4303614,24.62333333,20.0837309,121.8933333,18.42411468,19,3.333333333,32.66666667,5
ALL_STATIONS,2011,20.06666667,8.238891233,17.27333333,19.70945843,35.46666667,28.42893116,19.28666667,19.24442918,87.27333333,19.56288544,11,1.333333333,37.66666667,12.33333333
ALL_STATIONS,2012,10.40333333,12.51638009,30.71,20.30108696,52.47,26.50615942,12.78666667,18.57008343,111.62,19.52153472,16.33333333,2.666666667,19,6
ALL_STATIONS,2013,30.45333333,11.83740741,30,16.83297101,61.87666667,26.69362648,18.34333333,19.39346154,139.8966667,18.73074264,22.33333333,4.666666667,6.333333333,0.333333333
ALL_STATIONS,2014,19.88666667,10.3812963,36.35,18.37318841,48.29333333,27.33043478,35.38,19.28388278,143.9133333,18.76904109,21.33333333,2,21.33333333,3.666666667
ALL_STATIONS,2015,30.77333333,9.162407408,24.77,19.09873188,49.19333333,27.55525362,55.47,20.42216117,158.2633333,19.58413945,19.66666667,3.333333333,24.33333333,7.333333333
ALL_STATIONS,2016,30.28333333,12.0817094,35.97,19.39981884,30,28.3889214,45.46333333,20.61578144,145.05,19.71543105,21.66666667,6.666666667,40.33333333,9.666666667
ALL_STATIONS,2017,25.98333333,13.32518519,29.82666667,19.6057971,54.99,26.97753623,26.47666667,20.1544363,134.8033333,19.9306626,18.66666667,3.666666667,17.33333333,0.333333333
ALL_STATIONS,2018,18.38666667,11.09351852,37.38,17.90121723,44.34666667,27.51749126,25.14,20.85816973,138.8966667,19.42206886,19.66666667,4,12.66666667,1
